gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chrom,start,end,up_down
ARL2-SNX15,825.1123474,-7.064681876,2.428314829,-2.909294047,0.00362246,0.013385334,chr11,65039686,65040572,down
IRS2,218.5382787,-1.294916239,0.187278765,-6.914378374,4.7e-12,6.23e-11,chr13,109756304,109756306,down
BMS1P18,112.4701222,-23.6007149,4.785213046,-4.932009229,8.14e-07,6.06e-06,chr22,15815575,15815897,down
DUSP27,392.2628701,-1.444498305,0.138618867,-10.42064721,2e-25,5.7699999999999995e-24,chr1,167128606,167128608,down
MIR6724-4,206.4971852,-1.127848513,0.194266712,-5.805670476,6.41e-09,6.13e-08,chr22_KI270733v1_random,121581,121672,down
SNAI2,126.4377623,-3.272797178,0.323572297,-10.11457783,4.76e-24,1.3e-22,chr8,48918807,48918809,down
AKAP5,4409.702567,-1.166251248,0.03802576,-30.67003097,1.43e-206,4.4e-204,chr14,64469676,64469678,down
ST6GALNAC1,107.3655997,-1.474290568,0.27615363,-5.338660837,9.36e-08,7.84e-07,chr17,76625330,76625332,down
WWTR1,161.2495121,-1.50054381,0.226649879,-6.620536559,3.58e-11,4.38e-10,chr3,149520805,149520807,down
KCNG3,561.7473155,-1.551466106,0.118581157,-13.0835804,4.09e-39,1.83e-37,chr2,42443934,42443936,down
SLC45A3,5980.591767,-1.856120563,0.03462865,-53.60071995,0.0,0.0,chr1,205659234,205659236,down
MAF,1188.291731,-1.400337695,0.078159454,-17.9164211,8.780000000000001e-72,8.27e-70,chr16,79598781,79598783,down
LBH,110.8022402,-1.045979963,0.267314097,-3.912924807,9.12e-05,0.000484166,chr2,30257619,30257621,down
BAGE4,195.4676186,-5.013040868,1.783749895,-2.810394486,0.004948081,0.017533558,chr21,10414913,10414915,down
CHKB-CPT1B,425.211405,-1.8280334,0.44996953,-4.062571524,4.85e-05,0.000271865,chr22,50582558,50582999,down
ZBTB16,6061.073932,-1.631753409,0.032566193,-50.10574681,0.0,0.0,chr11,114250553,114250555,down
CCDC152,173.3106644,-2.061523129,0.587056221,-3.511628109,0.000445371,0.002062026,chr5,42799779,42799781,down
DYX1C1-CCPG1,1814.52499,14.3180317,1.443892327,9.916273839,3.5399999999999995e-23,9.3e-22,chr15,55498207,55498584,up
ZNF625-ZNF20,96.93347868,22.46461516,4.785315582,4.694489795,2.67e-06,1.87e-05,chr19,12156556,12156731,up
KCNN2,3150.410505,-1.040247081,0.045647143,-22.78887577,5.91e-115,9.66e-113,chr5,114495895,114496500,down
KLK2,1752.502955,-1.422555269,0.063667277,-22.34358584,1.3900000000000002e-110,2.2199999999999998e-108,chr19,50878404,50880567,down
DYX1C1,509.0430128,-1.464195695,0.12190132,-12.01131942,3.1e-33,1.1900000000000002e-31,chr15,55430696,55430698,down
BIVM-ERCC5,118.3253998,-23.6750794,4.785189931,-4.947573605,7.51e-07,5.61e-06,chr13,102875901,102875903,down
PMEPA1,3157.750509,-1.605142782,0.047208737,-34.00096872,2.16e-253,8.6e-251,chr20,57652053,57652055,down
TMCC3,518.2265226,-1.823970573,0.125789949,-14.50012968,1.2100000000000002e-47,6.7199999999999994e-46,chr12,94571435,94571437,down
PHLDB2,124.7771681,-1.916634258,0.274254447,-6.988525721,2.78e-12,3.74e-11,chr3,111974561,111974563,down
EFCAB12,259.4950104,-1.121003492,0.176130845,-6.36460635,1.96e-10,2.22e-09,chr3,129401593,129401595,down
LIMS3-LOC440895,202.6615948,-1.843909323,0.20923381,-8.812673822,1.22e-18,2.65e-17,chr2,110472597,110473075,down
SGK1,323.3186103,-2.953467518,0.181830332,-16.24298588,2.5e-59,1.82e-57,chr6,134170268,134170270,down
LAMA1,159.7670468,-1.251816047,0.221711703,-5.646143297,1.64e-08,1.5e-07,chr18,6942079,6942081,down
PER1,277.5457191,-1.185845819,0.165593171,-7.161200035,8e-13,1.12e-11,chr17,8141068,8141070,down
SNX22,1740.834301,-1.799569834,0.067103987,-26.81762906,2.01e-158,4.55e-156,chr15,64154506,64154508,down
KLF5,346.4572821,-1.008874236,0.146591475,-6.882216274,5.89e-12,7.73e-11,chr13,73075884,73075886,down
F5,305.9925632,-1.760820598,0.164998403,-10.67174325,1.38e-26,4.13e-25,chr1,169514313,169514315,down
RNU1-27P,23201.83047,1.075110127,0.125840272,8.543450439,1.3e-17,2.59e-16,chr1_KI270713v1_random,21861,22024,up
CCDC141,154.3679299,-10.66535258,1.456511269,-7.322533517,2.43e-13,3.6e-12,chr2,178834173,178834175,down
HNRNPUL2,3248.354248,1.174793617,0.047191313,24.89427688,8.58e-137,1.79e-134,chr11,62715299,62715301,up
GREB1,2202.840985,-1.012578231,0.05515845,-18.35762677,2.87e-75,2.88e-73,chr2,11591422,11591424,down
HNRNPUL2-BSCL2,1829.799183,-14.23274759,1.443852452,-9.857480639,6.359999999999999e-23,1.6600000000000001e-21,chr11,62726619,62727384,down
TRIM49D2,103.3463509,-2.474424348,0.3106481,-7.965361277,1.65e-15,2.81e-14,chr11,89932883,89932885,down
