transcript_id,LNCaP_DHT_RNA_rep1,LNCaP_DHT_RNA_rep2,LNCaP_Veh_RNA_rep1,LNCaP_Veh_RNA_rep2
NM_031210,1164,1041,755,769
NM_001178063_3,0,0,1,0
NM_031218,1953,1970,1996,1988
NM_031219,234,230,211,213
NM_181784,878,1154,1119,991
NM_178562,2742,2556,2360,2305
NM_001256782,10,0,0,8
NR_002174,15,30,34,0
NR_002175,0,8,0,0
NM_001256787,9,30,10,10
NM_016610,0,0,0,3
NM_178568,1839,1801,1717,1899
NM_178569,60,129,47,43
NM_001193495,118,66,60,91
NM_001193493,53,60,34,27
NM_032463,24,19,0,0
NM_001277961,507,197,144,206
NM_001277962,3,7,2,6
NR_036267_4,1,1,1,1
NR_036267_3,1,1,1,2
NM_016617,2697,2730,1038,1149
NM_016616,0,0,0,0
NM_014712,1111,985,911,960
NM_014713,11638,11386,11342,11463
NM_005998,76405,75965,72400,72633
NM_014711,4494,4341,3851,3951
NM_014716,212,244,201,199
NM_014717,0,2,4,0
NM_014714,9143,9130,8550,8677
NM_014715,9575,5989,10425,10823
NM_005992,48,40,40,0
NM_005993,13238,12593,11530,11445
NM_014718,8310,7813,7259,7373
NM_014719,18599,17417,20929,20151
NM_005996,18303,19941,19458,19968
NM_005997,13978,14726,15880,15016
NM_005994,0,0,0,0
NM_005995,31,36,40,43
NM_000500_5,0,0,0,0
NM_001008910,1249,896,448,954
NM_030652_5,0,0,0,0
NR_037149,2392,6488,8995,2524
NR_130779,0,0,0,0
NR_130774,0,0,0,0
NR_037144,1153,1105,1163,1172
NR_130776,9,9,8,9
NR_037146,6,12,9,11
NR_037141,0,0,0,0
NR_130771,2,1,1,1
NR_130772,0,0,0,0
NR_037142,12,0,9,0
NM_001010887,4528,4534,3944,4409
NM_052997,0,0,0,0
NM_001283019,68,0,64,196
NM_001283018,17,8,10,4
NM_052990,1190,966,2504,1146
NM_032741,266,354,1157,541
NM_032740,3150,3067,2674,2830
NM_001283010,0,0,52,715
NM_001283017,94,0,0,0
NM_001283016,114,222,16,18
NM_032747,1020,1071,1526,1516
NM_001283014,35,73,120,30
NR_003061_26,0,0,0,0
NM_001258430,23,39,19,39
NM_001258433,0,0,0,0
NM_001258432,0,0,117,155
NR_003061_22,0,0,0,0
NM_053028,0,0,0,0
NM_001258437,30354,4337,22845,27760
NM_001127899,2076,1711,1915,1375
NM_001162505,0,0,0,0
NM_053024,10097,10157,9676,10071
NM_053027,0,0,0,0
NM_053026,8429,4933,0,8135
NM_001162501,21331,25577,25137,24395
NM_053023,30672,27909,34616,33010
NM_001099669,686,674,603,639
NM_001099668,54,49,63,47
NM_004192_2,1218,1271,980,1120
NM_015294,16120,15692,14786,15051
NM_001099667,0,0,0,0
NM_001099666,23520,23123,21866,22988
NM_001099661,238,200,3325,1053
NM_001099660,327,317,254,305
NM_001048200,9563,7669,9037,7176
NM_023918_3,0,0,0,0
NR_039991_2,0,0,70,0
NM_001127891,0,0,0,0
NR_024322,3655,3642,3039,3100
NM_023918_2,0,0,0,0
NM_021238_2,3183,3121,2859,3031
NM_001305004,0,0,0,0
NM_001278646,5746,5638,5848,4669
NM_001080836,23,40,21,24
NM_001080837,28,20,21,23
NM_001305006,0,0,0,0
NM_001080830,13,15,25,14
NR_033417_5,10460,11468,11272,11937
NM_001278641,242,236,191,194
NR_033417_4,9847,9466,10551,11554
NM_020056_8,0,0,0,0
NM_001281521,55,65,57,10
NM_001244710,21686,25048,7859,7743
NM_001244713,422,191,174,275
NM_001281522,386,0,782,0
NM_004119,0,0,0,0
NM_001244714,188,311,64,93
NM_004115,0,0,0,0
NM_001281528,4512,2209,3519,3427
NM_004117,454,261,338,346
NM_004116,0,17,0,0
NM_004111,4570,4552,4174,4137
NM_004110,130,107,187,161
NM_004113,0,54,33,35
NM_002044,4426,4414,4339,4180
NM_001282872,28,24,31,19
NM_181352,4539,3958,4821,4559
NM_001282870,0,0,0,0
NM_001282871,0,0,0,0
NM_181357,273,290,228,200
NM_181356,821,481,97,253
NM_001282874,0,0,0,0
NM_001291949,0,0,0,0
NM_001305009,2394,5,3,6
NM_181359,847,1541,1256,819
NM_202758,62,242,53,70
NM_001278649,128,48,313,360
NM_001304275,7114,7980,6716,5767
NM_001304274,417,466,349,344
NR_103778,0,0,0,0
NR_103779,0,0,0,0
NM_001304271,56,227,0,186
NM_001304273,36,40,31,27
NM_001304272,0,0,3,0
NR_103772,83,84,61,69
NR_103773,0,0,0,0
NR_103770,0,3,3,0
NR_103771,34,28,19,25
NR_103776,0,0,0,0
NR_103777,80,52,55,72
NR_103774,450,467,325,332
NR_103775,0,0,0,0
NM_001277308_2,0,0,0,0
NR_131238,38,29,26,20
NM_001690,57261,57069,52052,54616
NM_002125,0,0,0,0
NM_001692,9,13,10,5
NM_001695,12873,12779,10801,11123
NM_001694,660,597,531,498
NM_001697,12661,12276,11655,11906
NM_001696,9822,9417,8571,8635
NM_001699,0,0,0,0
NM_001698,5213,4491,3563,3413
NM_018947,48526,47600,46177,47026
NM_001010923,0,0,0,0
NM_000120,17,23,7,91
NM_000121,454,451,391,576
NM_000122,10180,9923,9776,10009
NM_000123,12754,11784,11287,11817
NM_000124,14090,13900,13505,14024
NM_000125,0,0,0,0
NM_000126,32387,30604,30977,31176
NM_000127,1645,1585,1515,1595
NM_000128,0,0,0,0
NM_000129,1,0,0,4
NM_001282394,3258,325,2615,2607
NM_001282170,0,0,0,0
NR_039632,0,0,0,0
NM_001139468,12,9,7,17
NM_001001967,0,0,0,0
NM_001001966,2,0,2,2
NM_001001965,0,2,0,0
NM_001001964,0,0,0,0
NM_001001963,3,5,3,0
NM_024764_2,80,100,72,69
NM_001001961,3,2,6,5
NM_001001960,0,0,0,0
NM_181313,80,90,182,105
NM_024780,0,0,0,0
NM_001001968,0,0,0,0
NM_001270708_6,0,1,6,1
NM_001270708_7,0,1,4,5
NM_001270708_4,0,1,6,6
NM_001270708_5,0,1,6,1
NM_001270708_2,0,1,8,6
NM_001270708_3,0,1,5,1
NM_001184999_2,3035,2964,0,2712
NM_181310,0,0,0,0
NM_012314_35,0,0,0,0
NM_012314_34,0,0,0,0
NR_028026,15,42,659,146
NR_028027,147,437,380,238
NR_028024,7492,5047,4077,5109
NR_028025,1243,867,1136,1976
NM_012314_37,0,0,0,0
NM_004809,253,248,398,264
NM_004808,4058,4154,3118,3563
NM_004807,3206,3132,2681,2748
NR_106723,2,1,0,0
NM_004805,5349,5351,5137,5365
NR_106721,1,0,1,1
NM_004803,10,4,0,4
NR_106727,1,1,1,3
NR_028028,0,0,0,0
NM_004800,61090,59394,54468,56618
NR_024006,607,679,531,609
NR_110071,0,6,5,0
NR_110070,142,142,61,191
NR_110073,0,7,0,0
NR_110072,10,15,3,0
NR_110075,0,0,0,0
NR_110074,0,0,3,6
NR_030289,5,4,2,5
NR_030288,1,1,0,0
NR_030287,11,13,8,12
NR_110078,0,0,3,3
NR_030285,5,2,4,4
NR_030284,0,0,0,0
NR_030283,1,0,0,0
NR_030282,2,3,3,3
NR_030281,0,4,2,0
NR_030280,3,8,3,5
NM_006405,6141,6897,5562,5861
NM_006404,390,413,370,372
NM_006407,36311,35185,32987,33773
NM_006406,14207,13509,12371,12923
NM_006401,3283,3130,2674,2747
NM_006400,3710,0,4021,0
NM_006403,3447,3541,3253,3356
NM_006402,6499,6526,5698,5785
NM_006409,24645,23609,24167,24992
NM_006408,1090,984,874,956
NM_001247996,3169,2387,2195,2532
NM_001247997,14,29,11,115
NM_001247994,0,0,0,0
NM_001247990,373,477,530,612
NR_003352,0,0,0,0
NM_001306072_2,0,0,0,0
NM_001206769,4,0,0,0
NM_001306072_4,0,0,0,0
NR_039840,7,12,9,12
NM_001247999,0,0,0,0
NR_003350,0,0,0,2
NR_003357,0,0,0,0
NM_153267_2,0,0,0,0
NR_039847,0,0,0,0
NM_001098210,28698,27712,24146,25259
NR_030754,1,0,0,0
NR_003355,1,1,0,0
NR_030753,3,1,2,2
NR_039845,0,0,0,0
NM_001012276_2,0,2,0,0
NR_039848,0,0,0,0
NR_029779,4,4,3,4
NM_014513_5,0,0,0,0
NM_146387,0,0,0,0
NR_003358,1,0,0,0
NR_110737_61,0,0,0,0
NM_001282129,8252,8187,5174,6
NR_110737_63,0,0,0,0
NM_014513_3,0,0,0,0
NM_014513_8,0,0,0,0
NM_146388,2955,2778,2968,2970
NM_004996_2,6968,6656,5434,5519
NM_001271908,2,9,19,13
NM_001271909,15,23,7,27
NR_047565,0,0,0,8
NM_001271900,0,0,0,0
NM_001271904,221,240,107,161
NM_001271905,0,0,534,0
NM_001271906,58,125,50,78
NM_001271907,25,91,54,48
NM_001012708_2,1,0,1,1
NM_001012708_3,0,0,0,0
NM_139323,20575,20223,16021,17448
NM_183243,1084,592,124,135
NM_183242,1903,1850,1859,1768
NM_001034172,85,64,72,68
NM_001034173,306,296,280,266
NM_183246,0,0,0,0
NM_183245,2034,3274,2995,2822
NM_183244,0,0,0,0
NM_001285448_2,40,51,465,118
NM_001126049,1266,1203,1146,1216
NM_001126044,0,0,0,0
NM_139322,5678,5863,4818,2944
NM_004017,0,0,0,0
NM_001168412,444,370,561,432
NM_001122752,2494,2263,2137,3064
NM_000434_8,818,802,722,735
NM_001287596,0,0,0,0
NM_152945,2546,2409,2287,2324
NM_001130010,417,329,370,668
NM_001130011,0,0,0,0
NM_001130012,1069,909,921,770
NM_001130014,0,0,0,0
NM_001184943,0,299,193,287
NM_001130016,6,13,0,14
NM_001130017,0,0,0,0
NM_000434_5,723,705,630,641
NM_001184942,4,285,78,180
NM_001242829,100,99,80,90
NM_001242828,3802,3685,3571,2470
NM_001242825,388,412,286,431
NM_001242824,3982,3004,4099,2726
NM_001242827,1001,1161,1597,1155
NM_001242826,683,986,270,539
NM_001242821,940,997,948,933
NM_001242820,18,10,8,24
NM_001242823,111,107,101,100
NM_001242822,218,199,198,185
NM_001287591,16,11,8,43
NR_110412,0,0,0,0
NM_006806_2,45,127,101,0
NM_001163377,0,1,54,0
NM_000434_3,714,697,619,632
NM_000434_2,830,818,733,745
NR_036234,0,0,0,0
NM_017640,4365,3926,3754,3078
NM_144614,17,17,8,15
NM_033033,0,0,0,0
NM_199037,21,19,0,0
NM_199039,571,109,0,0
NM_001242369,754,718,633,696
NM_001288592,11,8,7,0
NM_001172415,275,469,708,476
NR_040073,0,5,0,0
NR_029392,0,0,0,0
NM_001288591,0,0,0,0
NM_005346_5,6925,6627,7319,7559
NM_001288590,0,0,0,0
NR_027355_3,184,165,131,139
NR_027355_2,174,188,141,135
NM_001285389,1,0,0,1
NM_182676,0,0,0,0
NM_205838_5,0,0,0,0
NM_032547,0,0,0,0
NM_030877,5179,5090,4745,5078
NM_030876,0,0,0,0
NM_182679,1852,2097,2928,2987
NM_182678,0,0,0,0
NM_032546,42,45,50,16
NM_173569,13323,12699,12088,12251
NM_001300949,186,486,131,317
NM_001300948,24956,27773,24710,23842
NR_039691,0,0,0,0
NM_001288953,678,634,467,524
NM_001300943,1619,1312,1017,917
NM_001300942,1292,3162,2267,3251
NM_001300941,0,52,0,0
NM_001300940,438,421,508,448
NM_001300947,7086,10856,7066,11444
NM_001300946,9825,9761,9394,9349
NM_001300945,84,82,72,0
NM_001300944,1807,1189,2012,1680
NR_003359,0,0,0,1
NM_001199341,36739,36393,34696,35258
NM_022914,400,373,489,0
NM_001199343,6911,6732,8832,10477
NM_022916,9106,8899,9421,9628
NM_001199345,28675,28019,26260,26345
NM_022910,194,0,0,0
NM_022913,19213,19939,14107,19881
NM_001199346,3992,3398,3118,2781
NM_022918,6351,6187,5969,5938
NM_001666,231,96,123,170
NM_001164410,1306,1195,976,852
NM_001308173,0,0,0,0
NM_001080137_7,0,0,0,0
NM_001080137_6,0,0,0,0
NM_001080137_5,0,0,0,0
NM_001080137_4,0,0,0,0
NM_001302998,0,0,0,0
NM_001302999,0,0,0,0
NM_001293212_6,24,23,27,19
NM_152827,289,172,974,328
NR_121572_2,0,3,0,0
NR_047642,7,3,3,5
NM_007130,5943,5641,5781,6056
NM_001039083_5,21,15,19,22
NR_110005,29,166,23,985
NM_001039083_3,24,9,34,21
NM_001039083_2,58,37,43,53
NR_046088,0,0,0,0
NM_024298_7,330,327,257,276
NM_024298_6,380,389,305,334
NM_001286480_2,53,8,139,321
NM_024298_5,377,358,293,314
NR_110529,371,302,590,580
NM_001303414,5,0,5,2
NM_001242597,2395,2516,2385,2084
NM_181659,5405,1673,5013,6344
NM_001303410,0,0,0,0
NM_001303411,17095,25612,17101,28541
NM_001303412,184,669,309,782
NM_001303413,152,199,114,126
NM_181652,742,653,623,516
NM_024298_3,358,358,280,297
NM_001103160,0,0,0,0
NM_181651,545,586,636,757
NM_181656,617,699,645,640
NM_181657,330,366,259,307
NM_181654,0,0,0,0
NM_181655,402,356,318,363
NM_001284431,2819,2569,3441,3013
NM_001136501,7218,7230,7196,7956
NM_001136503,0,0,0,0
NM_001136504,109,109,66,93
NM_001136505,18,0,14,0
NM_001136506,9,0,4,2
NM_001136507,3,3,3,5
NM_001136508,0,0,0,0
NM_001136509,46,57,59,68
NM_001024656,0,13,0,0
NM_001141920,0,0,0,0
NM_001128829,0,0,0,0
NM_002773,2992,2746,2451,2448
NM_031459,3631,3410,3002,3199
NM_001292004,232,125,79,111
NM_002770,0,0,0,0
NM_002777,0,0,0,0
NM_002776,5,4,4,0
NM_002775,550,586,556,557
NM_002774,0,0,0,0
NM_031450,268,253,180,281
NM_031451,0,0,0,0
NM_031452,4092,4010,3190,3113
NM_031453,2,2,0,2
NM_031454,1354,1455,1240,1250
NM_031455,0,3,0,0
NM_001292008,3911,5785,7554,2126
NM_031457,217,232,226,219
NR_125758,0,0,0,0
NR_125759,0,8,11,0
NR_030637_2,8,7,3,5
NR_125750,0,0,0,0
NR_125751,0,0,0,0
NR_125752,0,0,0,0
NR_125753,27,12,27,20
NR_125754,0,0,0,0
NR_125755,0,0,0,0
NR_125756,0,309,0,0
NR_125757,0,0,0,0
NM_001136103,0,0,0,0
NM_001130821,3,1503,1607,24
NM_001130820,1690,1024,1614,1272
NM_001130823,5797,10699,7059,7309
NM_001130822,1235,1456,1215,1919
NM_001130825,2114,1640,2673,2130
NM_001130824,1882,2099,1846,1011
NM_022152,10781,10241,9595,9690
NM_000500_2,0,0,0,0
NM_017439,427,428,423,427
NM_031989,2829,2693,2908,2888
NM_176825,20,12,13,7
NM_004829_4,0,0,0,0
NM_001114748,12,0,0,9
NM_003990,0,0,0,0
NR_048537,424,464,226,487
NM_175066,1473,1412,1148,1185
NM_175067,0,0,0,0
NM_175064,71,88,61,63
NR_040089,258,313,292,322
NM_175062,29,35,31,33
NM_175063,905,1445,831,1083
NM_175060,20,23,13,8
NM_175061,560,500,489,538
NR_040082,0,0,0,0
NR_040083,1131,1365,1342,1269
NR_040080,0,0,0,0
NR_040081,488,485,433,446
NR_040087,208,260,288,275
NM_175068,0,0,0,0
NR_040085,9,6,0,0
NM_022154,1009,398,523,443
NM_001145224,10,11,8,6
NM_030905_7,0,0,0,0
NM_030905_6,0,0,0,0
NR_130172,0,0,0,0
NM_024165,222,228,4,355
NM_030905_4,0,0,0,0
NM_001114393,562,740,503,795
NM_005202,220,207,197,156
NM_032189,10413,9360,8357,8931
NM_032188,2601,2558,2218,2577
NM_005206,7984,8512,8160,8026
NM_005207,8763,8834,7844,8140
NM_005204,687,723,953,1011
NM_005205,0,0,0,0
NM_014512_34,0,0,0,0
NM_032182,4349,4469,4386,4521
NM_005208,34,28,30,19
NM_032180,214,238,374,391
NM_032186,17,16,26,47
NM_032184,707,707,722,727
NM_001302453,31,25,13,18
NR_033309,5,6,3,4
NM_001302456,0,0,0,0
NM_001302455,0,0,0,0
NM_001302454,5,5,10,3
NR_036564,3630,3438,3739,4200
NR_036565,4541,4134,4510,5423
NR_036562,0,0,0,0
NM_001272071,13,8,2,2
NM_001145408,22317,20754,17539,18109
NR_036569,1812,1886,2006,1932
NM_001272073,12386,0,6871,13495
NM_001272072,0,96,0,53
NM_001159524,8,8,9,7
NM_001301224,0,16,23,21
NM_001301227,10,4,9,14
NM_001159522,209,228,226,235
NM_001301229,9284,8685,6283,7678
NM_001301228,1391,1240,1037,1199
NM_001291469,0,0,0,0
NM_001193508,9726,12042,9683,12296
NM_018270,2941,2926,2654,2806
NR_111955,223,70,74,122
NR_111954,308,297,244,57
NR_111957,912,722,630,717
NR_111956,0,0,0,13
NR_111951,105,94,51,55
NR_111950,1466,1454,911,1243
NR_111953,58,38,172,32
NR_111952,363,381,362,266
NM_001145400,0,0,0,0
NR_111958,323,459,450,539
NM_033053_2,0,0,0,0
NM_000746_2,20,0,15,22
NR_132378,0,0,0,0
NM_001097605,7,8,7,7
NM_001097604,246,40,191,213
NM_018909,0,0,0,0
NM_018908,0,0,0,0
NM_001097600,0,0,0,0
NM_001220494,18607,18257,16493,17239
NM_018902,0,50,0,0
NM_001220496,88,11,117,48
NM_018900,102,0,28,133
NM_001220490,0,0,0,0
NM_001220491,0,0,0,0
NM_001220492,0,0,0,0
NM_018904,0,0,0,0
NM_018918,0,0,0,0
NM_001305108,256,0,0,0
NM_012338,239,198,226,175
NM_001305105,706,758,3488,3643
NR_132379,1,0,1,0
NM_001145458_5,0,0,0,0
NM_001305102,4039,4107,3687,4053
NR_126445_4,54,10,27,15
NR_126445_3,36,41,67,57
NR_126445_2,0,0,0,0
NM_019058,14367,14011,13253,13568
NM_019059,12427,11882,10911,11255
NM_019056,4330,3955,3171,3812
NM_019054,9753,9824,8512,8617
NM_019055,0,10,0,0
NM_019052,0,0,107,0
NM_019053,4229,4260,3853,3812
NM_019050,10412,10305,10160,10643
NM_019051,9148,9138,9337,9677
NM_001003811,0,0,0,0
NM_001003810,2610,2607,2193,1916
NM_001115016,2335,2630,1535,2477
NM_001195388,0,0,0,0
NM_001003819,28,30,60,102
NM_001003818,28,28,15,20
NR_110792,0,0,0,0
NM_001304477,1581,1442,1263,1046
NM_001304476,245,333,95,155
NM_001304474,0,0,0,0
NM_001304473,0,0,4,0
NM_001304472,0,0,0,0
NM_001291516,0,0,0,0
NR_003230,0,0,0,0
NR_003231,0,0,0,0
NM_001290334,0,0,0,0
NM_012331,378,356,308,336
NM_001290332,0,0,0,0
NM_001290333,0,0,0,0
NM_001290330,0,0,0,0
NM_001290331,0,0,0,0
NM_001278279,0,6,407,0
NM_001278278,263,182,270,260
NM_182826,0,51,0,0
NM_001278270,0,0,192,76
NM_001278273,58,57,30,27
NM_001278275,279,360,297,349
NR_002139_8,87,84,86,85
NM_001278277,271,280,216,199
NM_001278276,315,446,401,367
NM_001453,10,10,17,5
NM_001452,0,0,0,0
NM_001451,0,0,0,0
NM_001450,0,0,0,0
NM_001457,110926,104481,92806,96206
NM_001456,42466,44536,36623,40100
NM_001455,9526,9390,10030,9818
NM_001454,34,47,15,22
NM_006778_8,0,0,0,0
NM_001459,0,0,0,0
NM_001458,16,17,7,18
NM_001164257,146,122,129,99
NR_073541,0,2,0,0
NM_001276385,1369,1304,1256,1246
NM_000321,14587,15043,13952,14726
NM_007110,6983,6876,6276,6499
NM_007111,5885,5658,5050,5293
NM_007112,947,1239,940,1265
NM_014502,15872,15228,13488,14132
NM_000328,684,689,562,617
NM_000329,18,27,15,16
NM_001253908,0,0,0,0
NM_001253909,0,0,0,2
NM_001276389,0,31,0,105
NR_133014,2242,2330,3229,3434
NM_001012957,79,77,0,46
NM_014500,864,1021,964,992
NM_001998,0,0,387,0
NR_133012,982,1060,1291,1139
NR_133013,4,0,0,0
NM_014507,105,72,107,63
NM_001999,0,0,0,0
NM_006778_6,0,0,0,0
NM_001012958,0,0,0,0
NM_001012959,0,0,0,0
NM_138797,594,862,612,876
NM_138796,1343,1355,1390,1348
NM_138795,3886,3753,3387,3620
NM_138794,5264,4877,7765,6121
NM_138793,5934,4885,5660,6066
NM_138792,5693,5726,5811,6035
NM_138790,0,0,0,0
NR_002139_6,87,85,85,83
NM_014504,1786,1772,1489,1429
NM_138799,23664,22613,13158,13590
NM_138798,1522,1321,1517,1634
NR_046827,0,0,4,0
NR_046824,83,68,46,69
NM_001195127,0,0,0,0
NR_046820,0,0,0,0
NM_001972_2,0,0,0,0
NR_031680,0,0,0,0
NM_001662,4906,4970,3902,3985
NM_173059,0,0,0,0
NM_181506,98,110,67,63
NM_173050,17,26,15,20
NM_173054,19710,19601,17144,17557
NM_021994,10677,10695,10099,10485
NM_001297649,444,554,542,702
NM_001297648,0,0,0,0
NM_001297647,403,756,688,632
NM_001297646,0,0,0,0
NM_001297645,73,64,71,92
NM_001297644,360,274,348,312
NM_001297643,44,37,46,44
NM_001297642,2610,1939,2213,2449
NM_001297640,1217,1126,1287,1044
NM_001195280,0,0,9,0
NM_001195283,10,36,2,143
NM_001195286,0,0,0,0
NM_203305,9,8,7,7
NM_145061,1330,1587,1221,1448
NM_001289054,58,105,0,0
NM_145063,2138,2046,1892,1980
NM_006247,5779,5970,7163,7330
NM_006246,4793,5455,3947,4463
NM_001002029,0,0,0,0
NM_182852,4,4085,38,21
NM_006243,6656,6640,5715,6264
NM_006242,1847,1889,1740,1819
NM_006241,3135,5493,12476,13535
NR_046084,598,633,509,615
NM_001289051,1697,749,999,499
NM_001002021,180,227,159,147
NM_001002020,10,0,183,189
NR_034070,0,0,0,0
NR_034071,0,0,0,0
NR_034072,4102,4160,4063,4344
NM_006248,1,0,0,0
NM_001035260,307,547,396,420
NM_001178076,255,0,54,83
NM_001035267,15829,16863,13074,13207
NR_024106,0,0,0,0
NM_001195752,1000,611,417,248
NM_001195753,37,390,539,711
NM_001253876,32,19,12,21
NR_031644,1,0,0,0
NR_031645,0,0,0,0
NM_032978,0,0,0,0
NM_032979,0,0,92,104
NR_031640,0,0,0,0
NR_031641,0,0,0,0
NR_031642,0,0,0,0
NM_203467,1769,1523,1082,623
NM_001199662,636,784,620,573
NM_001199663,9,13,8,0
NM_032970,16910,16868,14775,15189
NM_001199661,308,365,224,274
NM_001164781,0,0,0,0
NM_001164780,0,0,0,0
NM_001199664,87,78,75,99
NM_001164782,2,0,0,0
NM_001004702,0,0,0,0
NM_003149,46,38,59,76
NM_001302862,0,0,0,0
NM_003142,28410,28368,28046,29498
NM_003141,5329,5110,5298,5730
NM_001302861,0,0,0,0
NM_003147,15,19,57,10
NM_003146,39120,38023,34521,35721
NM_003145,16133,15939,14246,14310
NM_203463,20723,20578,8901,18449
NM_001285447_2,81,76,176,72
NM_198075_2,519,506,395,393
NM_002121_8,2,2,2,2
NM_001002796,295,331,545,300
NM_002121_4,2,2,2,2
NM_001128850,0,0,0,7
NM_001128853,2484,2497,2132,1792
NM_001128852,2972,2329,2741,2881
NM_001128855,311,340,73,0
NM_001128854,2899,2936,2314,2032
NM_002121_2,4,4,8,7
NM_002121_3,0,0,0,0
NM_001257379,0,0,0,0
NM_001257378,0,0,0,0
NM_002898,2686,2782,2433,2608
NM_002899,0,21,14,12
NM_002896,12718,12604,11809,11971
NM_002897,0,0,0,0
NM_002894,3347,4393,3343,4322
NM_001257370,552,542,445,467
NM_002892,4640,4246,3679,4158
NM_001257376,49,86,45,48
NM_002890,14711,13996,13579,13881
NM_001257374,3,8,2,2
NM_153234,8,10,0,9
NM_020442_2,39,69,230,112
NM_020442_3,55,247,341,346
NM_020442_4,38,46,226,165
NM_020442_5,1288,1135,447,330
NM_020442_6,1194,1042,416,306
NR_026716_3,0,0,0,0
NM_153230,0,0,0,0
NR_026716_2,0,1,0,0
NM_001040454,1592,1859,1102,1595
NR_033892,0,0,0,0
NM_001040456,538,516,801,316
NR_033890,13,7,0,8
NM_001040450,3299,3014,2123,2423
NM_001040451,1758,2504,1939,1157
NM_001040452,2010,2095,1156,987
NM_001040453,4955,5244,5169,5190
NR_033899,0,0,0,0
NR_033898,132,152,102,110
NM_001040458,6931,6109,4692,4712
NM_001289130,103,59,157,81
NM_001288751,19,28,0,17
NR_038827,38,38,31,39
NR_038826,0,0,0,0
NM_014033,8323,8172,6427,6835
NM_014031,0,0,0,0
NM_014030,1316,2812,1531,2795
NM_014037,161,153,134,143
NM_001206540,3,3,6,9
NM_014035,1119,1082,980,952
NM_014034,7982,7800,7415,7525
NM_014039,954,825,839,1012
NM_001206541,32,25,21,20
NR_103772_3,153,156,106,122
NR_103772_2,8,9,7,9
NM_018590,3945,4000,3354,3419
NM_015343,40,17,0,16
NM_001008892,3424,4327,2603,2800
NM_015341,3729,3820,2883,3242
NM_001008894,433,210,351,321
NM_001008895,33685,31996,33570,34826
NM_015344,6922,6817,6228,6462
NM_015345,83,79,68,66
NM_001177549,0,0,0,0
NR_027379,0,2,0,3
NM_015349,12687,12414,11167,11530
NM_002976,0,0,0,0
NR_104300,69,54,56,54
NR_106988_19,0,1,1,1
NM_002238,0,0,0,0
NM_002239,110,658,768,860
NM_001098797,100,113,90,73
NR_106988_18,1,1,1,1
NM_002232,0,0,0,0
NM_002233,8,16,12,14
NM_002230,4693,4995,4138,4301
NM_002231,827,817,753,779
NM_002236,22,12,8,2
NM_002237,885,906,882,842
NM_002234,0,0,0,0
NM_002235,0,0,2,0
NM_001256424,79,77,76,87
NM_001256425,6,5,0,0
NM_001256426,18,16,6,14
NM_001256427,0,0,0,0
NM_001256420,44,56,32,15
NM_001256421,0,114,0,0
NM_001256422,0,0,0,0
NM_001256423,7,10,9,11
NM_001256428,1296,1578,2496,3158
NM_001256429,34,72,52,72
NM_001255995,116,92,107,118
NR_073097,89,115,92,124
NM_001170544,7793,3928,7417,3719
NM_018045,3678,4134,7474,3654
NM_018042,8,13,22,22
NM_018043,12,10,12,6
NM_018040,12153,11740,12190,12111
NM_001256335,69,451,52,43
NM_198504,3,6,0,2
NM_001291926,0,0,0,0
NM_018048,4929,4626,4365,4308
NM_018049,2703,2753,2223,2385
NM_001130022,280,278,267,237
NM_001256337,294,927,79,327
NR_073093,186,197,191,229
NM_001256331,0,0,0,0
NR_003224,0,0,0,0
NR_120579,92,5,7,72
NR_120578,0,0,0,0
NR_038400_2,86,87,90,95
NM_001256332,0,0,0,0
NM_014699,4774,5068,4446,4676
NM_014698,3065,2983,2596,2618
NR_120573,21,39,44,68
NR_120572,66,34,34,37
NM_014695,710,449,611,544
NR_120570,8,2,0,0
NR_120577,32,75,86,37
NM_014692,6,17,18,33
NM_014691,28834,28276,26933,27077
NR_120574,32,73,29,0
NM_013308,31,23,19,10
NM_001289135,0,0,0,0
NR_003223,0,0,0,0
NR_027711_2,0,0,0,0
NM_001256338,1213,1497,923,915
NM_001099415,3753,3807,3476,3529
NM_001099410,352,0,494,0
NR_110706,416,425,429,450
NR_110705,61,72,82,64
NR_073098,59,45,71,52
NM_001199729,13,7,2,36
NM_014965,11,30,2,8
NM_014964,4087,362,2305,2271
NM_014967,9071,8921,8064,8397
NM_014966,4680,7578,7751,2786
NM_001005329,20,16,15,19
NM_014960,0,0,0,0
NM_014963,2965,3019,2781,2730
NM_014962,177,171,166,161
NM_001005325,2,1,0,0
NR_047638,79,0,0,0
NM_001005327,0,0,0,0
NM_001005326,0,0,0,0
NM_014969,5376,2298,5495,5420
NM_001005323,0,0,0,0
NM_014513_35,0,0,0,0
NM_176818,6973,6954,7090,5706
NM_176819,721,662,656,757
NM_176812,5808,5894,5197,5319
NM_176813,0,0,0,0
NM_176810,0,0,0,0
NM_176811,0,0,0,0
NM_176816,2117,1725,2199,2288
NM_176817,0,0,6,7
NM_176814,6477,6315,5917,6001
NM_176815,3558,3670,3834,3930
NM_001160305,1083,1109,1205,1235
NM_004597,7604,7213,5992,6778
NM_001002800,7307,10482,6686,7244
NM_000982_2,26276,25780,21763,22542
NM_001206942,0,0,0,0
NM_001206943,549,435,12,389
NM_001206940,0,0,0,0
NM_006077,14,5,10,7
NM_001206946,6149,6296,5981,4546
