gene_id,0,3,4,6
"""ABCA9-AS1""",chr17,69004714,69018323,+
"""ABCB1""",chr7,87503863,87713323,-
"""ABCB10""",chr1,229516582,229558695,-
"""ABCB11""",chr2,109566,169031323,-
"""ABCB4""",chr7,87402045,87475703,-
"""ABCB5""",chr7,20615622,20757014,+
"""ABCB6""",chr2,219209766,219218990,-
"""ABCB7""",chrX,75053172,75156340,-
"""ABCB8""",chr7,151028422,151047782,+
"""ABCB9""",chr12,122920951,122966509,-
"""ABCC1""",chr16,1607547,16143073,+
"""ABCC10""",chr6,43427554,43450425,+
"""ABCC11""",chr16,48166911,48235177,-
"""ABCC12""",chr16,48082973,48146770,-
"""ABCC13""",chr21,14273799,14301371,+
"""ABCC2""",chr10,99782598,99852192,+
"""ABCC3""",chr17,50634857,50691702,+
"""ABCC4""",chr13,95019829,95301446,-
"""ABCC5""",chr3,183919936,184017939,-
"""ABCC5-AS1""",chr3,184006338,184011419,+
"""ABCC6""",chr16,1807491,16223471,-
"""ABCC6P1""",chr16,18571248,18598285,+
"""ABCC6P2""",chr16,962183,14824702,-
"""ABCC8""",chr11,17392885,17476845,-
"""ABCC9""",chr12,21797390,21936694,-
"""ABCD1""",chrX,153724868,153744762,+
"""ABCD2""",chr12,39551220,39620041,-
"""ABCD3""",chr1,94418377,94518663,+
"""ABCD4""",chr14,74285277,74303064,-
"""ABCE1""",chr4,145098004,145129524,+
"""ABCF1""",chr6,1826480,30591532,+
"""ABCF2""",chr7,151207837,151227374,-
"""ABCF3""",chr3,184186075,184194007,+
"""ABCG1""",chr21,42199689,42297244,+
"""ABCG2""",chr4,88090264,88231322,-
"""ABCG4""",chr11,119149040,119162665,+
"""ABCG5""",chr2,43812472,43838819,-
"""ABCG8""",chr2,43838964,43878466,+
"""ABHD1""",chr2,27123789,27130812,+
"""ABHD10""",chr3,111978876,111993368,+
"""ABHD11""",chr7,73736095,73738867,-
"""ABHD11-AS1""",chr7,73735069,73736000,+
"""ABHD12""",chr20,25294743,25390982,-
"""ABHD12B""",chr14,50872160,50904970,+
"""ABHD13""",chr13,108218415,108234255,+
"""ABHD14A""",chr3,51975026,51981200,+
"""ABHD14A-ACY1""",chr3,51975026,51989202,+
"""ABHD14B""",chr3,51968510,51974630,-
"""ABHD15""",chr17,29560671,29567024,-
"""ABHD16A""",chr6,2934713,31703360,-
"""ABHD16B""",chr20,63861213,63862988,+
"""ABHD17A""",chr19,1876976,1885519,-
"""ABHD17B""",chr9,71862452,71911232,-
"""ABHD17C""",chr15,80695311,80755621,+
"""ABHD2""",chr15,89088150,89202360,+
"""ABHD3""",chr18,21650897,21704805,-
"""ABHD4""",chr14,22598238,22612359,+
"""ABHD5""",chr3,43690883,43722725,+
"""ABHD6""",chr3,58237532,58294734,+
"""ABHD8""",chr19,17292131,17303473,-
"""ABI1""",chr10,26746596,26861087,-
"""ABI2""",chr2,203328239,203432173,+
"""ABI3""",chr17,49210227,49223225,+
"""ABI3BP""",chr3,100749335,100993490,-
"""ABL1""",chr9,130713881,130887675,+
"""ABL2""",chr1,179099327,179229684,-
"""ABLIM1""",chr10,114431110,114684655,-
"""ABLIM2""",chr4,7965310,8158832,-
"""ABLIM3""",chr5,149141483,149260438,+
"""ABO""",chr9,133255176,133275214,-
"""ABR""",chr17,42765,1187322,-
"""ABRA""",chr8,106759483,106770244,-
"""ABRACL""",chr6,139028682,139043302,+
"""ABT1""",chr6,26596943,26600049,+
"""ABTB1""",chr3,127672938,127680926,+
"""ABTB2""",chr11,34150987,34358008,-
"""ACAA1""",chr3,38122710,38137242,-
"""ACAA2""",chr18,49783504,49813881,-
"""ACACA""",chr17,1320992,37406811,-
"""ACACB""",chr12,109139397,109268225,+
"""ACAD10""",chr12,111686053,111757107,+
"""ACAD11""",chr3,132558138,132660131,-
"""ACAD8""",chr11,134253540,134265852,+
"""ACAD9""",chr3,128879490,128913114,+
"""ACADL""",chr2,210187992,210225491,-
"""ACADM""",chr1,75724347,75763678,+
"""ACADS""",chr12,120725738,120740008,+
"""ACADSB""",chr10,123008913,123058290,+
"""ACADVL""",chr17,7217125,7225267,+
"""ACAN""",chr15,88803443,88875354,+
"""ACAP1""",chr17,7336529,7351474,+
"""ACAP2""",chr3,195274736,195443088,-
"""ACAP3""",chr1,1292384,1307889,-
"""ACAT1""",chr11,108121531,108148164,+
"""ACAT2""",chr6,159761957,159779112,+
"""ACBD3""",chr1,226144679,226186722,-
"""ACBD4""",chr17,45132600,45144176,+
"""ACBD5""",chr10,27195214,27242139,-
"""ACBD6""",chr1,180288217,180502887,-
"""ACBD7""",chr10,15075475,15088776,-
"""ACCS""",chr11,44066179,44084019,+
"""ACCSL""",chr11,44047981,44059977,+
"""ACD""",chr16,67657512,67660815,-
"""ACE""",chr17,63477061,63498380,+
"""ACE2""",chrX,15561033,15602069,-
"""ACER1""",chr19,6306499,6333629,-
"""ACER2""",chr9,19408927,19452502,+
"""ACER3""",chr11,76860873,77026797,+
"""ACHE""",chr7,100889994,100896133,-
"""ACIN1""",chr14,23058565,23095614,-
"""ACKR1""",chr1,159204013,159206500,+
"""ACKR2""",chr3,42809472,42867283,+
"""ACKR3""",chr2,236569737,236582351,+
"""ACKR4""",chr3,132597237,132602641,+
"""ACLY""",chr17,41866917,41919022,-
"""ACMSD""",chr2,134838616,134902032,+
"""ACO1""",chr9,32384603,32450834,+
"""ACO2""",chr22,41469125,41528989,+
"""ACOT1""",chr14,73537224,73543794,+
"""ACOT11""",chr1,54548134,54634744,+
"""ACOT12""",chr5,81330128,81394169,-
"""ACOT13""",chr6,24667035,24705067,+
"""ACOT2""",chr14,73567620,73575658,+
"""ACOT4""",chr14,73591706,73595766,+
"""ACOT6""",chr14,73616844,73619888,+
"""ACOT7""",chr1,6264272,6393766,-
"""ACOT8""",chr20,45841721,45857409,-
"""ACOT9""",chrX,23703660,23743290,-
"""ACOX1""",chr17,75941511,75979434,-
"""ACOX2""",chr3,58505136,58537202,-
"""ACOX3""",chr4,8366282,8440725,-
"""ACOXL""",chr2,110732573,111118222,+
"""ACP1""",chr2,264869,278282,+
"""ACP2""",chr11,47239302,47248847,-
"""ACP5""",chr19,11574660,11578986,-
"""ACP6""",chr1,147647366,147670512,-
"""ACPP""",chr3,132317367,132368302,+
"""ACPT""",chr19,50790415,50795224,+
"""ACR""",chr22,50738224,50745299,+
"""ACRBP""",chr12,6638076,6647414,-
"""ACRC""",chrX,71578024,71613583,+
"""ACRV1""",chr11,125672334,125680898,-
"""ACSBG1""",chr15,78170845,78234707,-
"""ACSBG2""",chr19,6135633,6193103,+
"""ACSF2""",chr17,50426158,50474845,+
"""ACSF3""",chr16,89093809,89155846,+
"""ACSL1""",chr4,184755595,184826114,-
"""ACSL3""",chr2,222861014,222943401,+
"""ACSL4""",chrX,109641335,109733392,-
"""ACSL5""",chr10,112374158,112428380,+
"""ACSL6""",chr5,131949974,132012068,-
"""ACSM1""",chr16,20623237,20691256,-
"""ACSM2A""",chr16,20451461,20487669,+
"""ACSM2B""",chr16,20536761,20576373,-
"""ACSM3""",chr16,20763990,20797157,+
"""ACSM4""",chr12,7304332,7328373,+
"""ACSM5""",chr16,20409534,20440959,+
"""ACSM6""",chr10,95194200,95228929,+
"""ACSS1""",chr20,25006230,25058182,-
"""ACSS2""",chr20,34874963,34927966,+
"""ACSS3""",chr12,81078030,81255803,+
"""ACTA1""",chr1,229431246,229434096,-
"""ACTA2""",chr10,88935074,88991390,-
"""ACTA2-AS1""",chr10,88932684,88939974,+
"""ACTB""",chr7,5527148,5530601,-
"""ACTBL2""",chr5,57480016,57482809,-
"""ACTC1""",chr15,34788096,34795726,-
"""ACTG1""",chr17,81509971,81512866,-
"""ACTG1P17""",chr15,82725898,82739780,-
"""ACTG1P20""",chr1,27323874,27326525,+
"""ACTG1P4""",chr1,103569404,103571386,+
"""ACTG2""",chr2,73892966,73919653,+
"""ACTL10""",chr20,33666498,33668525,+
"""ACTL6A""",chr3,179562880,179588405,+
"""ACTL6B""",chr7,100643103,100656461,-
"""ACTL7A""",chr9,108862228,108863755,+
"""ACTL7B""",chr9,108854589,108855995,-
"""ACTL8""",chr1,17755313,17827063,+
"""ACTL9""",chr19,8697397,8698830,-
"""ACTN1""",chr14,68874123,68979366,-
"""ACTN1-AS1""",chr14,68979682,68987463,+
"""ACTN2""",chr1,236686454,236764627,+
"""ACTN3""",chr11,66546395,66563329,+
"""ACTN4""",chr19,38647627,38730531,+
"""ACTR10""",chr14,58200115,58235635,+
"""ACTR1A""",chr10,102479229,102502755,-
"""ACTR1B""",chr2,97655939,97664098,-
"""ACTR2""",chr2,65227695,65271256,+
"""ACTR3""",chr2,113889934,113961552,+
"""ACTR3B""",chr7,152759749,152855379,+
"""ACTR3BP2""",chr2,91941133,91942470,+
"""ACTR3BP5""",chr10,38696596,38698240,+
"""ACTR3C""",chr7,150247212,150323669,-
"""ACTR5""",chr20,38748454,38772446,+
"""ACTR6""",chr12,100200087,100224424,+
"""ACTR8""",chr3,53867066,53882202,-
"""ACTRT1""",chrX,128050962,128052403,-
"""ACTRT2""",chr1,3021482,3022903,+
"""ACTRT3""",chr3,169766923,169769895,-
"""ACVR1""",chr2,157736446,157875862,-
"""ACVR1B""",chr12,51951667,51997079,+
"""ACVR1C""",chr2,157526767,157628887,-
"""ACVR2A""",chr2,147844517,147930827,+
"""ACVR2B""",chr3,38454299,38493142,+
"""ACVR2B-AS1""",chr3,38451027,38454820,-
"""ACVRL1""",chr12,51907418,51923361,+
"""ACY1""",chr3,51983284,51989202,+
"""ACY3""",chr11,67642555,67650659,-
"""ACYP1""",chr14,75053225,75069483,-
"""ACYP2""",chr2,54115273,54305298,+
"""ADA""",chr20,44619522,44651735,-
"""ADAD1""",chr4,122378966,122429792,+
"""ADAD2""",chr16,84191117,84197166,+
"""ADAL""",chr15,43330356,43354555,+
"""ADAM10""",chr15,58595204,58749978,-
"""ADAM11""",chr17,44759200,44781846,+
"""ADAM12""",chr10,126012385,126388558,-
"""ADAM15""",chr1,155051272,155062776,+
"""ADAM17""",chr2,9489281,9555788,-
"""ADAM18""",chr8,335202,39730064,+
"""ADAM19""",chr5,157477304,157575823,-
"""ADAM1A""",chr12,111899063,111901902,+
"""ADAM2""",chr8,494375,39838289,-
"""ADAM20""",chr14,70522361,70535015,-
"""ADAM20P1""",chr14,70468879,70483756,-
"""ADAM21""",chr14,70452157,70459905,+
"""ADAM21P1""",chr14,70245753,70247801,-
"""ADAM22""",chr7,87934251,88202889,+
"""ADAM23""",chr2,206443644,206621131,+
"""ADAM28""",chr8,24294040,24359018,+
"""ADAM29""",chr4,174918358,174978180,+
"""ADAM30""",chr1,119893533,119896524,-
"""ADAM32""",chr8,13212,39284917,+
"""ADAM33""",chr20,3667973,3682131,-
"""ADAM3A""",chr8,39451045,39522989,-
"""ADAM5""",chr8,220374,39402856,+
"""ADAM6""",chr14,437498,105972269,-
"""ADAM7""",chr8,24440996,24509564,+
"""ADAM8""",chr10,133262416,133276903,-
"""ADAM9""",chr8,7546,39105260,+
"""ADAMDEC1""",chr8,24384285,24406013,+
"""ADAMTS1""",chr21,26836287,26845409,-
"""ADAMTS10""",chr19,8580240,8610735,-
"""ADAMTS12""",chr5,33527181,33892019,-
"""ADAMTS13""",chr9,133414339,133459403,+
"""ADAMTS14""",chr10,70672803,70762439,+
"""ADAMTS15""",chr11,130448974,130476644,+
"""ADAMTS16""",chr5,5140330,5320299,+
"""ADAMTS17""",chr15,99971438,100341978,-
"""ADAMTS18""",chr16,77282128,77435114,-
"""ADAMTS19""",chr5,129460410,129738683,+
"""ADAMTS19-AS1""",chr5,129459559,129460689,-
"""ADAMTS2""",chr5,179110851,179345430,-
"""ADAMTS20""",chr12,43354209,43551921,-
"""ADAMTS3""",chr4,72280969,72568799,-
"""ADAMTS4""",chr1,161189748,161199055,-
"""ADAMTS5""",chr21,26917912,26967120,-
"""ADAMTS6""",chr5,65148736,65481877,-
"""ADAMTS7""",chr15,78759203,78811431,-
"""ADAMTS7P1""",chr15,3301,82334561,+
"""ADAMTS8""",chr11,130404923,130428644,-
"""ADAMTS9""",chr3,64515655,64687689,-
"""ADAMTS9-AS1""",chr3,64561346,64590084,+
"""ADAMTS9-AS2""",chr3,64684870,65011471,+
"""ADAMTSL1""",chr9,18474081,18910949,+
"""ADAMTSL2""",chr9,133532164,133575519,+
"""ADAMTSL3""",chr15,83654086,84039841,+
"""ADAMTSL4""",chr1,150549369,150560936,+
"""ADAMTSL4-AS1""",chr1,150560895,150574552,-
"""ADAMTSL5""",chr19,1505018,1513189,-
"""ADAP1""",chr7,897900,955407,-
"""ADAP2""",chr17,30921736,30959193,+
"""ADAR""",chr1,154582058,154627980,-
"""ADARB1""",chr21,45074578,45226563,+
"""ADARB2""",chr10,1177313,1737476,-
"""ADARB2-AS1""",chr10,1526630,1556984,+
"""ADAT1""",chr16,75598349,75623323,-
"""ADAT2""",chr6,143422832,143450704,-
"""ADAT3""",chr19,1905372,1913447,+
"""ADCK1""",chr14,77800083,77933954,+
"""ADCK2""",chr7,140673153,140695108,+
"""ADCK3""",chr1,226940237,226987545,+
"""ADCK4""",chr19,40691529,40716885,-
"""ADCK5""",chr8,144374015,144393238,+
"""ADCY1""",chr7,45574140,45723115,+
"""ADCY10""",chr1,167809388,167914226,-
"""ADCY10P1""",chr6,41101034,41140835,+
"""ADCY2""",chr5,7396230,7830081,+
"""ADCY3""",chr2,24819170,24919186,-
"""ADCY4""",chr14,24318349,24335071,-
"""ADCY5""",chr3,123282296,123448545,-
"""ADCY6""",chr12,48766191,48789096,-
"""ADCY7""",chr16,50266540,50318134,+
"""ADCY8""",chr8,130780301,131040589,-
"""ADCY9""",chr16,3962649,4116185,-
"""ADCYAP1""",chr18,904943,912172,+
"""ADCYAP1R1""",chr7,31052461,31111479,+
"""ADD1""",chr4,2843857,2930075,+
"""ADD2""",chr2,70662084,70768243,-
"""ADD3""",chr10,110005968,110135565,+
"""ADD3-AS1""",chr10,109945559,110008381,-
"""ADGB""",chr6,146599000,146815461,+
"""ADGRA1""",chr10,133088004,133131675,+
"""ADGRA1-AS1""",chr10,133085249,133086697,-
"""ADGRA2""",chr8,37796883,37843986,+
"""ADGRA3""",chr4,22387374,22516054,-
"""ADGRB1""",chr8,142464016,142545007,+
"""ADGRB2""",chr1,31727105,31764063,-
"""ADGRB3""",chr6,68635740,69389511,+
"""ADGRD1""",chr12,130953907,131141463,+
"""ADGRE1""",chr19,6887549,6940453,+
"""ADGRE2""",chr19,14732697,14778541,-
"""ADGRE3""",chr19,14619117,14674918,-
"""ADGRE4P""",chr19,6952500,6990846,-
"""ADGRE5""",chr19,14381144,14408725,+
"""ADGRF1""",chr6,46997703,47042363,-
"""ADGRF2""",chr6,47656590,47697797,+
"""ADGRF3""",chr2,26308173,26346817,-
"""ADGRF4""",chr6,47698553,47722021,+
"""ADGRF5""",chr6,46852506,46954938,-
"""ADGRG1""",chr16,57619693,57665039,+
"""ADGRG2""",chrX,18989307,19122637,-
"""ADGRG3""",chr16,57668245,57689378,+
"""ADGRG4""",chrX,136300963,136416888,+
"""ADGRG5""",chr16,57542421,57577188,+
"""ADGRG6""",chr6,142301919,142446266,+
"""ADGRG7""",chr3,100609589,100695481,+
"""ADGRL1""",chr19,14147737,14206185,-
"""ADGRL2""",chr1,81699770,81992738,+
"""ADGRL3""",chr4,61497121,62072450,+
"""ADGRL3-AS1""",chr4,62071755,62161765,-
"""ADGRL4""",chr1,78889764,79006810,-
"""ADGRV1""",chr5,90558800,91164216,+
"""ADH1A""",chr4,99276366,99291028,-
"""ADH1B""",chr4,99306387,99321442,-
"""ADH1C""",chr4,99336492,99353045,-
"""ADH4""",chr4,99123657,99144298,-
"""ADH5""",chr4,99070979,99088788,-
"""ADH6""",chr4,99202638,99219246,-
"""ADH7""",chr4,99412261,99435510,-
"""ADHFE1""",chr8,66432483,66468809,+
"""ADI1""",chr2,107389,3519579,-
"""ADIG""",chr20,38581195,38588463,+
"""ADIPOQ""",chr3,186842674,186858463,+
"""ADIPOQ-AS1""",chr3,186851887,186856123,-
"""ADIPOR1""",chr1,202940825,202958572,-
"""ADIPOR2""",chr12,1691081,1788679,+
"""ADIRF""",chr10,86968431,86970909,+
"""ADK""",chr10,74151185,74709303,+
"""ADM""",chr11,10304980,10307402,+
"""ADM2""",chr22,50481724,50486437,+
"""ADM5""",chr19,49688685,49690990,+
"""ADNP""",chr20,50888918,50930990,-
"""ADNP-AS1""",chr20,50930984,50945134,+
"""ADNP2""",chr18,80109031,80140345,+
"""ADO""",chr10,62804756,62808479,+
"""ADORA1""",chr1,203127708,203167405,+
"""ADORA2A""",chr22,24423597,24442361,+
"""ADORA2A-AS1""",chr22,24429206,24495074,-
"""ADORA2B""",chr17,15944917,15975896,+
"""ADORA3""",chr1,111499429,111504121,-
"""ADPGK""",chr15,72751367,72783785,-
"""ADPGK-AS1""",chr15,72782835,72798199,+
"""ADPRH""",chr3,119579433,119589945,+
"""ADPRHL1""",chr13,113421940,113453524,-
"""ADPRHL2""",chr1,36088852,36093932,+
"""ADPRM""",chr17,10697610,10711558,+
"""ADRA1A""",chr8,26748150,26865405,-
"""ADRA1B""",chr5,159916733,159973010,+
"""ADRA1D""",chr20,4220631,4249012,-
"""ADRA2A""",chr10,111077032,111080904,+
"""ADRA2B""",chr2,96112875,96116245,-
"""ADRA2C""",chr4,3766569,3768526,+
"""ADRB1""",chr10,114044047,114046908,+
"""ADRB2""",chr5,148826593,148828634,+
"""ADRB3""",chr8,37962996,37966666,-
"""ADRBK1""",chr11,67266434,67286558,+
"""ADRBK2""",chr22,25564894,25729291,+
"""ADRM1""",chr20,62302896,62308862,+
"""ADSL""",chr22,40346500,40366571,+
"""ADSS""",chr1,244408492,244452134,-
"""ADSSL1""",chr14,104724197,104747311,+
"""ADTRP""",chr6,11713655,11779047,-
"""AEBP1""",chr7,44104361,44114565,+
"""AEBP2""",chr12,19439674,19522239,+
"""AEN""",chr15,88621296,88632281,+
"""AES""",chr19,3052910,3062966,-
"""AFAP1""",chr4,7758713,7939926,-
"""AFAP1-AS1""",chr4,7754090,7778927,+
"""AFAP1L1""",chr5,149271838,149341804,+
"""AFAP1L2""",chr10,114294824,114404778,-
"""AFF1""",chr4,86935002,87141054,+
"""AFF2""",chrX,148500619,149000663,+
"""AFF3""",chr2,99547254,100142575,-
"""AFF4""",chr5,132875379,132963662,-
"""AFG3L1P""",chr16,89972580,90000787,+
"""AFG3L2""",chr18,12328944,12377276,-
"""AFM""",chr4,73481745,73504001,+
"""AFMID""",chr17,78187317,78207701,+
"""AFP""",chr4,73436219,73455785,+
"""AFTPH""",chr2,64524305,64593004,+
"""AGA""",chr4,177430775,177442503,-
"""AGAP1""",chr2,235494089,236131800,+
"""AGAP1-IT1""",chr2,235505751,235507566,+
"""AGAP11""",chr10,86970741,87010203,+
"""AGAP2""",chr12,57724293,57742161,-
"""AGAP2-AS1""",chr12,57726240,57728356,+
"""AGAP3""",chr7,151085831,151144436,+
"""AGAP4""",chr10,45825592,45853877,-
"""AGAP5""",chr10,73674275,73697796,-
"""AGAP6""",chr10,49988318,50010499,+
"""AGAP7P""",chr10,46109495,46131678,+
"""AGAP9""",chr10,47501854,47523638,-
"""AGBL1""",chr15,86142011,87029052,+
"""AGBL1-AS1""",chr15,86296834,86316968,-
"""AGBL2""",chr11,47659591,47715376,-
"""AGBL3""",chr7,134986508,135135778,+
"""AGBL4""",chr1,48532855,50023954,-
"""AGBL4-IT1""",chr1,49374201,49472085,-
"""AGBL5""",chr2,27051623,27070622,+
"""AGBL5-AS1""",chr2,27049683,27050264,-
"""AGER""",chr6,3404169,32184322,-
"""AGFG1""",chr2,227472172,227561222,+
"""AGFG2""",chr7,100539211,100568220,+
"""AGGF1""",chr5,77030385,77065233,+
"""AGK""",chr7,491,141654409,+
"""AGL""",chr1,99850084,99924023,+
"""AGMAT""",chr1,15571699,15585110,-
"""AGMO""",chr7,15200318,15562015,-
"""AGO1""",chr1,35883209,35929613,+
"""AGO2""",chr8,140531165,140635547,-
"""AGO3""",chr1,35931082,36056462,+
"""AGO4""",chr1,35808227,35857889,+
"""AGPAT1""",chr6,3391407,32178111,-
"""AGPAT2""",chr9,136673143,136687459,-
"""AGPAT3""",chr21,43865235,43987594,+
"""AGPAT4""",chr6,161130025,161274075,-
"""AGPAT4-IT1""",chr6,161160132,161161982,-
"""AGPAT5""",chr8,6708357,6761500,+
"""AGPS""",chr2,177392743,177543836,+
"""AGR2""",chr7,16792640,16805114,-
"""AGR3""",chr7,16859406,16881989,-
"""AGRN""",chr1,1020123,1056119,+
"""AGRP""",chr16,67482571,67483813,-
"""AGT""",chr1,230702523,230714590,-
"""AGTPBP1""",chr9,85546539,85742029,-
"""AGTR1""",chr3,148697871,148743003,+
"""AGTR2""",chrX,116170705,116174972,+
"""AGTRAP""",chr1,11736085,11750771,+
"""AGXT""",chr2,240868745,240879119,+
"""AGXT2""",chr5,34998101,35048135,-
"""AHCTF1""",chr1,246839098,246931424,-
"""AHCTF1P1""",chr2,161499067,161507902,-
"""AHCY""",chr20,34280265,34311802,-
"""AHCYL1""",chr1,109984765,110023742,+
"""AHCYL2""",chr7,129225014,129430211,+
"""AHDC1""",chr1,27534245,27603494,-
"""AHI1""",chr6,135283972,135497765,-
"""AHNAK""",chr11,62433542,62546860,-
"""AHNAK2""",chr14,104937254,104978357,-
"""AHR""",chr7,17298652,17346151,+
"""AHRR""",chr5,304176,438290,+
"""AHSA1""",chr14,77458030,77469472,+
"""AHSA2""",chr2,61177420,61187551,+
"""AHSG""",chr3,186613061,186621318,+
"""AHSP""",chr16,31527882,31528803,+
"""AICDA""",chr12,8602166,8612846,-
"""AIDA""",chr1,222668013,222712522,-
"""AIF1""",chr6,2862984,31617021,+
"""AIF1L""",chr9,131096476,131123152,+
"""AIFM1""",chrX,130129363,130165887,-
"""AIFM2""",chr10,70112267,70132934,-
"""AIFM3""",chr22,20965130,20981360,+
"""AIG1""",chr6,143059363,143340343,+
"""AIM1""",chr6,106511855,106570449,+
"""AIM1L""",chr1,26321859,26354130,-
"""AIM2""",chr1,159062485,159076857,-
"""AIMP1""",chr4,106315610,106349224,+
"""AIMP2""",chr7,6009251,6023834,+
"""AIP""",chr11,67483029,67491108,+
"""AIPL1""",chr17,6423737,6435199,-
"""AIRE""",chr21,44285838,44298219,+
"""AIRN""",chr6,160003291,160007664,-
"""AJAP1""",chr1,4655045,4783791,+
"""AJUBA""",chr14,22971174,22982642,-
"""AK1""",chr9,127866480,127877743,-
"""AK2""",chr1,33007940,33036911,-
"""AK3""",chr9,4709556,4742043,-
"""AK4""",chr1,65147549,65232145,+
"""AK5""",chr1,77281977,77559969,+
"""AK6""",chr5,134919,69370013,-
"""AK7""",chr14,96392111,96489427,+
"""AK8""",chr9,132725578,132878811,-
"""AK9""",chr6,109492856,109691212,-
"""AKAP1""",chr17,57085192,57121349,+
"""AKAP10""",chr17,19904452,19977856,-
"""AKAP11""",chr13,42272153,42323267,+
"""AKAP12""",chr6,151239999,151358561,+
"""AKAP13""",chr15,85380616,85749358,+
"""AKAP14""",chrX,119895973,119920716,+
"""AKAP17A""",chrX,1591593,1602518,+
"""AKAP2""",chr9,110048598,110172511,+
"""AKAP3""",chr12,4615508,4649047,-
"""AKAP4""",chrX,50190768,50201013,-
"""AKAP5""",chr14,64465499,64474503,+
"""AKAP6""",chr14,32329273,32833062,+
"""AKAP7""",chr6,131135686,131283535,+
"""AKAP8""",chr19,15353521,15379801,-
"""AKAP8L""",chr19,15380048,15419121,-
"""AKAP9""",chr7,91940875,92110673,+
"""AKIP1""",chr11,8911154,8920079,+
"""AKIRIN1""",chr1,38991244,39006065,+
"""AKIRIN2""",chr6,87674860,87702267,-
"""AKNA""",chr9,114334154,114394405,-
"""AKNAD1""",chr1,108815898,108858242,-
"""AKR1A1""",chr1,45550783,45570051,+
"""AKR1B1""",chr7,134442355,134459136,-
"""AKR1B10""",chr7,134527592,134541414,+
"""AKR1B15""",chr7,134549097,134579840,+
"""AKR1C1""",chr10,4963262,4977966,+
"""AKR1C2""",chr10,4987776,5018033,-
"""AKR1C3""",chr10,5048766,5107686,+
"""AKR1C4""",chr10,5196835,5218947,+
"""AKR1C6P""",chr10,4871667,4916273,-
"""AKR1C8P""",chr10,5154460,5185187,-
"""AKR1D1""",chr7,138076432,138118304,+
"""AKR1E2""",chr10,4826177,4848059,+
"""AKR7A2""",chr1,19302708,19312146,-
"""AKR7A2P1""",chr1,112923350,112924673,+
"""AKR7A3""",chr1,19282563,19288786,-
"""AKR7L""",chr1,19265982,19274074,-
"""AKT1""",chr14,104769350,104795743,-
"""AKT1S1""",chr19,49869033,49878356,-
"""AKT2""",chr19,40230317,40285395,-
"""AKT3""",chr1,500341,243843584,-
"""AKTIP""",chr16,53491040,53503304,-
"""ALAD""",chr9,113386312,113401338,-
"""ALAS1""",chr3,52198083,52214327,+
"""ALAS2""",chrX,55009055,55031064,-
"""ALB""",chr4,73404255,73421412,+
"""ALCAM""",chr3,105366713,105576913,+
"""ALDH16A1""",chr19,49453216,49471048,+
"""ALDH18A1""",chr10,95605929,95656810,-
"""ALDH1A1""",chr9,72900662,72953317,-
"""ALDH1A2""",chr15,57953424,58065923,-
