Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0014909~smooth muscle cell migration	2	3.125	0.02848012588256635	BCL2, ARPC5	57	10	19414	68.11929824561403	0.9999997416925887	1.0	0.9961759082217974
GOTERM_MF_DIRECT	GO:0005515~protein binding	45	70.3125	0.037691082007976336	DLX1, ACADVL, CEBPD, ZBTB1, ZBTB21, AKAP5, HINT1, RPS16, PPP4R2, U2AF2, SNRPB2, RPS27A, BBS4, NUDT12, RPS12, TPD52, CBX4, EIF2AK1, YIPF5, MTERF4, STYK1, UBE4A, HAUS3, OPRK1, PEX2, ARPC5, MR1, NFKBIA, CCNA2, KLF6, PPFIBP1, MAFB, TRPV6, ABHD17A, CLDN8, CLDN12, TMEM79, BCL2, RABL3, CALU, RPL22L1, SRSF5, SRSF6, SGK1, ZNF697	57	12648	18945	1.182525217217617	0.9957277122367881	1.0	1.0
GOTERM_BP_DIRECT	GO:0033120~positive regulation of RNA splicing	2	3.125	0.03964776466107603	U2AF2, SRSF5	57	14	19414	48.65664160401002	0.9999999994029103	1.0	0.9961759082217974
GOTERM_CC_DIRECT	GO:0005634~nucleus	25	39.0625	0.03970433350977647	DLX1, CEBPD, ZBTB1, ZBTB21, HINT1, PPP4R2, U2AF2, SNRPB2, RPS27A, BBS4, NUDT12, CBX4, TIGD6, GLMP, UBE4A, ARPC5, NFKBIA, CCNA2, KLF6, MAFB, ESRP2, PITHD1, BCL2, SGK1, ZNF697	60	6033	20624	1.4243880877396542	0.9980485149373682	0.7643084200631971	0.7643084200631971
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	3	4.6875	0.055639281146047534	U2AF2, SNRPB2, HNRNPA1L2	60	133	20624	7.753383458646617	0.9998516666619711	0.9520499218323689	0.9520499218323689
GOTERM_BP_DIRECT	GO:0045055~regulated exocytosis	2	3.125	0.056163212116898016	TMEM79, STEAP2	57	20	19414	34.059649122807016	0.9999999999999338	1.0	0.9961759082217974
GOTERM_BP_DIRECT	GO:0016338~calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules	2	3.125	0.05888853232332525	CLDN8, CLDN12	57	21	19414	32.43776106934002	0.9999999999999855	1.0	0.9961759082217974
GOTERM_BP_DIRECT	GO:0006376~mRNA splice site selection	2	3.125	0.05888853232332525	SRSF5, SRSF6	57	21	19414	32.43776106934002	0.9999999999999855	1.0	0.9961759082217974
GOTERM_BP_DIRECT	GO:0030837~negative regulation of actin filament polymerization	2	3.125	0.05888853232332525	SSH2, BBS4	57	21	19414	32.43776106934002	0.9999999999999855	1.0	0.9961759082217974
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	10	15.625	0.06098917141015148	NFKBIA, ACADVL, MAFB, CEBPD, TRPV6, CLDN8, TMEM79, CLDN12, BCL2, ZBTB21	57	1704	18945	1.9505189028910304	0.9998684092758847	1.0	1.0
GOTERM_BP_DIRECT	GO:0048025~negative regulation of mRNA splicing, via spliceosome	2	3.125	0.06431600662620632	U2AF2, SRSF6	57	23	19414	29.617086193745234	0.9999999999999993	1.0	0.9961759082217974
GOTERM_BP_DIRECT	GO:0000380~alternative mRNA splicing, via spliceosome	2	3.125	0.06971273597502939	ESRP2, SRSF6	57	25	19414	27.247719298245613	1.0	1.0	0.9961759082217974
GOTERM_BP_DIRECT	GO:0006470~protein dephosphorylation	3	4.6875	0.07047596213124692	PPP4R2, BCL2, SSH2	57	151	19414	6.7668177065179504	1.0	1.0	0.9961759082217974
GOTERM_BP_DIRECT	GO:0009314~response to radiation	2	3.125	0.07775055703028391	BCL2, OPRK1	57	28	19414	24.32832080200501	1.0	1.0	0.9961759082217974
GOTERM_CC_DIRECT	GO:0015935~small ribosomal subunit	2	3.125	0.07977495130429918	RPS16, RPS27A	60	29	20624	23.70574712643678	0.9999972477758426	1.0	1.0
GOTERM_BP_DIRECT	GO:0040018~positive regulation of multicellular organism growth	2	3.125	0.08836163272081221	BCL2, BBS4	57	32	19414	21.287280701754387	1.0	1.0	0.9961759082217974
GOTERM_BP_DIRECT	GO:0031069~hair follicle morphogenesis	2	3.125	0.0909956100477856	TMEM79, BCL2	57	33	19414	20.64221158958001	1.0	1.0	0.9961759082217974
GOTERM_BP_DIRECT	GO:0055072~iron ion homeostasis	2	3.125	0.0962411611850492	EIF2AK1, STEAP2	57	35	19414	19.46265664160401	1.0	1.0	0.9961759082217974
