transcript_id,LNCaP_DHT_RNA_rep1_batch,LNCaP_DHT_RNA_rep2_batch,LNCaP_Veh_RNA_rep1_batch,LNCaP_Veh_RNA_rep2_batch
NM_001460,0.007445,0.012259,0.00712,0.01583
NM_001461,1.642883,1.631936,1.734416,1.742432
NM_001276394,0.0,0.0,0.0,0.0
NM_007102,0.0,0.0,0.0,0.0
NM_001164246,0.538316,0.420088,0.441545,0.349208
NM_007100,132.269745,132.48996,131.328033,134.800705
NM_000335,0.0,0.0,0.0,0.0
NM_007106,7.170518,7.233397,6.838097,7.059079
NM_001276392,0.0,0.0,0.140868,0.0
NM_001276393,0.187649,0.0,0.116098,0.0
NM_000339,0.0,0.010117,0.008746,0.021298
NM_000338,0.0,0.0,0.0,0.0
NM_007109,0.548957,0.381877,0.378197,0.392229
NM_007108,37.436172,37.408836,36.508041,37.034695
NR_133003,0.0,0.0,0.0,0.017662
NR_133002,0.0,0.0,0.0,0.0
NM_001012969,2.323603,2.382147,1.973802,1.837223
NR_133000,0.0,0.048917,0.100395,0.0
NR_133007,0.25851,0.096871,0.116638,0.063568
NR_133006,0.243842,0.269906,0.171258,0.186743
NR_133005,0.021764,0.0,0.0,0.0
NR_133004,0.0,0.0,0.0,0.0
NR_133009,0.02043,0.117198,0.020973,0.0
NR_133008,0.0,0.138702,0.0,0.0
NM_001012967,0.626048,0.649579,0.599293,0.538045
NM_001012965,0.0,0.0,0.0,0.0
NM_001012964,0.0,0.0,0.0,0.0
NM_003824,12.045162,11.955368,12.922054,12.732429
NM_003825,18.694803,18.507301,19.549366,19.279596
NM_003826,16.994511,17.694822,16.267071,16.232487
NM_003827,15.776785,15.402733,14.436885,15.022397
NM_003820,0.159956,0.151815,0.128575,0.11793
NM_003821,4.89806,5.028616,4.344378,4.155829
NM_003822,0.0,0.0,0.0,0.0
NM_003823,0.235478,0.308568,0.194345,0.0
NM_001134336,0.241756,0.03999,0.762895,0.0
NM_003828,2.528696,1.54948,1.959895,1.541809
NM_003829,3.003857,2.293595,2.508272,1.087345
NM_001256296,0.0,0.0,0.0,0.0
NR_046834,0.033561,0.030247,0.015739,0.015455
NR_046837,0.224313,0.19141,0.187248,0.154913
NR_046836,0.0,0.0,0.085746,0.0
NM_001025780,6.780348,6.684061,5.543725,4.60356
NR_046832,0.0,0.0,0.0,0.0
NR_046839,0.038603,0.005535,0.0,0.0
NM_001304461,0.0,0.0,0.0,0.0
NM_024034,0.0,0.0,0.0,0.0
NM_018301,13.573665,13.6607,13.982635,13.456832
NM_024036,1.563347,1.371283,1.084735,1.19736
NM_024037,1.088737,1.134098,1.180743,1.253871
NM_001164796,1.677283,1.485841,0.822689,2.660392
NM_024031,1.31376,1.250443,1.08707,1.123403
NM_024032,0.200861,0.165753,0.181911,0.170492
NM_001312673,26.920918,26.242105,27.970398,27.492676
NM_001008783,0.0,0.0,0.0,0.0
NM_024038,100.551147,99.47361,90.10775,89.190308
NM_024039,4.200766,5.301966,4.656285,4.466007
NM_015550,0.826653,1.018778,0.281874,1.049833
NM_021246_3,0.021819,0.012606,0.020141,0.0
NM_001271099_2,0.249881,0.237171,0.144678,0.181048
NM_015556,0.005995,0.016105,0.000273,0.000256
NM_001297658,1.346168,0.924576,0.833649,0.951778
NM_001297659,1.148596,0.948634,1.287498,1.194652
NM_001297654,0.028452,0.009446,0.158383,0.039528
NM_001297655,1.413187,3.057109,3.173535,2.354555
NM_001297656,0.013615,0.020686,0.00586,0.028524
NM_001297657,0.0,0.0,0.0,0.0
NM_001297650,0.185602,0.199771,0.219282,0.197322
NM_001297651,1.636659,4.064102,3.379373,0.936751
NM_001297652,0.022243,0.231971,0.148734,0.184383
NM_001297653,0.022363,0.006098,0.153025,0.0231
NM_001301191,0.0,0.0,0.0,0.0
NR_121649,0.009955,0.019872,0.01751,0.025061
NM_012151_2,0.276403,0.235304,0.209158,0.229577
NM_001278536,0.098349,0.103174,0.092282,0.075259
NM_001100598_2,0.014415,0.019203,0.108099,0.0
NM_001012337,0.155861,0.185228,0.245932,0.099539
NR_104095,0.0,0.0,0.0,0.0
NR_027383_2,2.395356,1.199924,2.089931,1.11038
NM_001031732_2,2.400631,5.658697,6.226624,2.581547
NM_001300819,1.624342,1.838569,0.0,0.0
NM_001170701,0.027774,0.0,0.00208,0.169048
NM_001145064,2.420136,2.439523,2.349812,2.292591
NM_001011724,5.453579,5.628638,5.735225,6.048079
NM_001011725,6.054078,5.99971,4.632865,4.403214
NM_006270,2.154049,2.065801,1.798154,2.186337
NM_006271,0.342725,0.337923,0.354974,0.376424
NM_001011720,1.449193,1.559079,1.486416,1.456384
NM_006277,0.0,0.000977,0.000879,7.956817
NM_001011722,1.282599,0.04316,0.071124,0.084809
NM_006275,41.021812,41.214134,31.658245,32.851006
NR_034063,0.0,0.0,0.0,0.0
NM_001002031,0.802297,0.940985,2.132764,0.771711
NR_034061,0.0,0.0,0.0,0.0
NM_006279,0.45367,0.440369,0.688876,0.844072
NR_034067,0.0,0.0,0.0,0.0
NM_001002035,0.0,0.0,0.0,0.0
NR_034065,0.0,0.0,0.0,0.0
NM_001172626,0.0,0.0,0.0,0.0
NM_133374,3.47619,3.394536,3.13005,3.081222
NR_121641,0.0,0.0,0.0,0.0
NM_001300818,0.199633,0.211204,0.0,0.0
NR_003221,0.0,0.0,0.0,0.0
NR_003220,0.0,0.0,0.0,0.0
NR_033194,10.976947,10.826414,12.319249,12.583207
NR_031653,0.0,0.0,0.0,0.0
NR_031652,0.0,0.0,0.0,0.0
NR_031651,0.0,0.0,0.070718,0.300464
NM_001291556,0.048949,0.00162,0.014106,0.008439
NR_031657,0.0,0.0,0.0,0.0
NR_031656,2.914869,2.696673,2.102931,1.884478
NR_031655,2.362631,2.051847,1.322142,1.249116
NR_031654,0.0,0.0,0.0,0.0
NM_032961,0.0,0.0,0.0,0.002183
NM_032960,15.312933,15.739665,14.789733,14.567357
NM_032963,0.0,0.0,0.0,0.0
NM_001199654,2.377427,2.468542,2.380424,2.093631
NM_001199653,9.202767,11.536284,9.389079,8.912013
NM_001290309,0.310287,0.307516,0.467081,0.435286
NM_032966,0.069382,0.057395,0.059253,0.049413
NR_023378_8,0.0,0.0,0.0,0.0
NR_030527,0.466461,0.406389,0.53411,0.488162
NR_023378_4,0.0,0.0,0.0,0.0
NR_023378_5,0.0,0.0,0.0,0.0
NR_023378_6,0.0,0.0,0.0,0.0
NR_023378_7,0.0,0.0,0.0,0.0
NR_023378_2,0.0,0.0,0.0,0.0
NR_023378_3,0.0,0.0,0.0,0.0
NM_003176,0.0,0.0,0.0,0.0
NM_003177,0.005693,0.016384,0.009916,0.013831
NM_003174,6.783496,6.583234,7.504248,7.408656
NM_003175,0.0,0.0,0.0,0.0
NM_003172,6.143029,6.848962,6.54204,3.368096
NM_003173,1.672194,1.621126,1.539574,1.550429
NM_003170,27.210758,27.246243,26.805962,27.033039
NM_003171,11.559548,12.006361,12.043463,11.464492
NM_001128846,0.733543,1.990247,0.599031,0.641841
NM_001128847,0.239938,0.62086,0.068297,0.111118
NM_001128844,18.0509,18.353617,17.108307,18.268133
NR_003228,0.850977,0.931223,0.446405,0.216862
NM_001128843,0.0,0.0,0.0,0.0
NM_003178,0.018582,0.019796,0.011907,0.0
NM_003179,0.273857,0.401472,0.34121,0.320054
NR_125919,0.0,0.0,0.0,0.0
NM_002889,0.0,0.0,0.0,0.0
NM_002888,0.0,0.0,0.0,0.0
NM_001098398,43.18924,28.884661,37.573566,23.263622
NM_001257360,1.459082,4.474977,5.328774,4.526423
NM_001257361,0.152252,0.044207,0.145806,0.066312
NM_002887,100.038223,99.942062,100.778831,101.360146
NM_002886,4.216205,4.175339,4.54737,4.600851
NM_002881,24.870266,24.604641,27.616055,27.776405
NM_002880,30.200939,29.117704,30.348869,29.780163
NM_002883,12.813116,12.991646,11.88408,11.921484
NM_002882,19.672504,17.338181,24.08666,28.636282
NM_001010860,11.500333,10.964083,11.240396,11.422235
NM_021246_6,0.021844,0.012623,0.021393,0.005555
NM_001014,495.833527,504.811707,497.70697,503.279388
NM_001081559,3.743425,3.609987,3.476466,3.273927
NM_001081552,0.0,0.0,0.0,0.0
NM_000344_5,1.546191,6.170144,1.329876,1.375261
NM_001081550,38.981201,39.286392,41.559216,42.626709
NM_001081551,0.0,0.0,0.0,0.0
NM_000344_4,1.633354,6.233047,1.407355,1.306517
NM_001005226_4,0.0,0.0,0.0,0.0
NM_133370,3.459685,0.0,0.0,3.774836
NR_026833,0.0,0.0,0.0,0.0
NM_017866,8.91854,8.917353,8.149885,7.880896
NM_000344_2,0.949223,4.842103,0.824045,0.952576
NM_001003789,0.726731,0.475716,0.915854,0.522647
NM_001003788,0.901992,0.834479,0.679117,0.932206
NM_001010897,0.054793,0.042635,0.079017,0.08012
NM_001010896,0.0,0.069674,0.0,0.0
NM_001010891,9.562899,9.392204,7.754466,7.461069
NM_001010890,0.0,0.0,0.0,0.0
NM_001010893,0.721363,0.597241,0.72136,0.735844
NM_013235,8.317773,8.883257,8.769016,7.301897
NM_001003785,8.259197,8.900423,13.464663,15.172995
NM_001010898,0.059043,0.059797,0.058275,0.047518
NM_001003787,1.324328,1.245452,0.399438,1.344665
NM_001003786,1.356492,1.560141,0.0,1.573373
NM_001178108,0.24017,0.335672,0.204131,0.197524
NM_013237,48.458092,48.601475,46.626446,45.941906
NR_109868,0.0,0.0,0.0,0.0
NM_133371,0.0,0.0,0.0,0.0
NM_014281_2,0.016609,0.00296,0.009938,0.005727
NM_013230,9.106357,8.99035,8.517386,8.198346
NM_014004,0.032412,0.070578,0.390468,0.016842
NM_014005,0.015761,0.009563,0.006628,0.013476
NM_014002,1.277152,0.692719,0.633108,0.834836
NM_014003,16.461739,16.438858,17.682629,17.606867
NM_014000,0.122356,0.085516,0.247947,0.101195
NM_014001,0.468136,1.202392,1.514668,1.539195
NM_015351,2.579918,2.465931,2.519387,2.55452
NM_015350,5.469821,5.61723,4.881997,0.770584
NM_015353,9.542068,9.456626,9.250473,8.934515
NM_015352,18.053722,18.579174,17.594427,18.087034
NM_015355,14.891109,15.071647,13.87808,14.401043
NM_013232,6.83864,6.696476,6.846,7.271222
NM_001276395,0.0,0.0,0.0,0.0
NR_027346,0.0,0.0,0.0,0.0
NM_015358,19.464157,19.023586,24.213963,24.726423
NM_018584,118.378769,119.865837,132.500366,133.718246
NM_001278531,0.027147,0.027052,0.003063,0.097798
NM_000333,4.41738,4.552552,4.117566,4.116474
NR_027340,0.40281,0.295442,2.398805,0.041224
NR_027341,0.0,0.0,0.0,0.0
NM_002229,4.10367,4.488688,3.813184,3.830851
NM_002228,57.336967,58.401466,46.975945,47.248981
NM_000332,3.043833,3.535813,4.335434,3.096885
NM_001166139,3.936319,3.739416,3.669595,3.647159
NM_007003,0.240939,0.169631,0.339448,0.280329
NM_002221,5.596513,5.672584,5.035017,5.17048
NM_002220,0.188547,0.17204,0.132066,0.153969
NM_002223,2.440892,2.504702,2.609459,2.599415
NM_002222,5.056238,3.951661,5.879481,5.914365
NM_002225,11.331671,14.176419,10.193919,9.797244
NM_001166131,0.9522,0.785431,1.109891,0.048814
NM_002227,1.449374,1.430214,1.37122,1.402359
NM_000334,0.0,0.0,0.0,0.0
NM_001004060,7.023956,11.773277,7.620086,11.48647
NR_131339,0.551315,0.63169,0.529595,0.440133
NR_131338,0.0,0.000647,0.0,0.0
NM_001004065,0.0,0.0,0.0,0.0
NM_007105,0.056396,0.058336,0.026648,0.033115
NM_001004067,3.142462,3.528996,4.20733,3.843512
NM_001303119,0.0,0.0,0.0,0.0
NM_000336,0.066051,0.076521,0.037456,0.045376
NR_131337,0.01515,0.0,0.031639,0.00411
NR_120610,0.192358,0.0,0.092129,0.0
NM_001285450,0.218034,0.76751,0.205221,0.205902
NM_001017438_3,0.0,0.0,0.0,0.0
NR_039768,0.0,0.0,0.0,0.0
NM_001163560,0.020039,0.014306,0.0,0.028261
NM_001163561,0.0,0.0,0.0,0.0
NM_007005,0.0,0.0,0.0,0.0
NM_018055,0.145391,0.143678,0.086957,0.123585
NM_018054,0.503168,2.086507,1.821048,1.610295
NM_001255988,0.0,0.0,0.0,0.0
NM_018056,1.339118,1.386597,1.365821,1.473887
NM_018051,1.931019,1.891186,2.049558,1.948516
NM_018050,2.187502,2.187262,2.10802,2.299101
NM_018053,0.65032,0.622831,0.783228,0.612963
NM_018052,6.899282,6.767276,5.856137,6.104226
NR_033242,5.068348,5.154682,4.166551,4.061146
NM_001255983,0.0,0.0,0.0,0.0
NM_001255980,0.863174,0.724534,0.633831,0.451023
NM_001255981,4.773471,4.8935,3.655187,3.00873
NM_001255986,0.0,0.0,0.0,0.0
NM_018058,0.0,0.0,0.0,0.0
NM_001255984,0.0,0.0,0.0,0.0
NM_001255985,0.0,0.0,0.0,0.0
NM_001256253,0.0,0.0,0.0,0.0
NR_029379,0.171894,0.176379,0.074601,0.186384
NR_029378,2.649599,2.576092,2.645425,2.478132
NM_001122636,0.029357,0.030674,0.012309,0.0
NR_029375,4.053967,5.632514,5.785039,6.74602
NR_029374,0.023174,0.0,0.0,0.0
NR_029377,2.182781,2.304385,2.012351,2.257562
NR_029376,1.099616,1.067996,1.046809,1.111572
NR_120618,0.0,0.0,0.0,0.0
NR_029373,0.0,0.038848,0.034053,0.006184
NR_039760,0.0,0.0,0.0,0.0
NM_001199237_5,0.022324,0.032127,0.020518,0.021176
NM_001287593_7,0.015205,0.009482,0.034312,0.03794
NR_133001,0.014385,0.008799,0.035611,0.019932
NM_013289_6,0.0,0.0,0.0,0.0
NR_120546,0.0,0.0,0.0,0.0
NR_120547,0.0,0.0,0.0,0.0
NM_001300813,0.064711,6.075618,1.026736,3.836469
NM_001012968,3.584543,3.837424,3.224221,3.065173
NM_001256183,6.881836,6.478604,4.413776,7.188356
NM_001256182,4.18651,2.830086,6.914723,2.637877
NR_120540,0.282893,0.251628,0.279098,0.218082
NR_120541,0.0,0.0,0.0,0.0
NM_001199237_6,0.013043,0.02798,0.015644,0.013324
NR_120548,0.0,0.0,0.0,0.0
NR_120549,0.0,0.0,0.0,0.0
NM_001142352,0.0,0.0,0.0,0.0
NM_001142353,0.834173,2.36794,0.761033,0.954049
NM_001142350,2.682246,0.0,2.700585,2.690612
NM_001142351,0.0,0.0,0.0,0.0
NM_001142356,0.0,0.0,0.090987,0.0
NM_001142354,0.836603,0.953202,0.625188,0.796109
NM_001142355,1.450581,0.071702,0.0,0.763827
NM_001287593_4,0.017796,0.009116,0.033745,0.037337
NR_039907_5,0.0,0.0,0.0,0.0
NM_001207071_2,0.0,0.0,0.0,0.0
NR_039907_4,0.0,0.0,0.0,0.0
NM_003770_2,0.0,0.0,0.0,0.0
NM_057095,0.0,0.0,0.0,0.0
NM_014910,3.024538,2.646632,3.65669,3.93369
NM_014911,8.517916,8.378769,6.219107,6.075627
NM_014912,1.38801,1.646558,0.268242,0.097648
NM_014913,7.889134,7.773751,7.103353,7.55691
NM_014914,0.58708,0.741434,0.644413,0.745588
NM_014915,1.741582,1.433379,1.252764,2.827324
NM_014916,7.559241,7.425186,7.077105,7.320338
NM_014917,1.05402,1.059333,0.809476,0.891577
NM_014918,18.802105,18.472305,15.696711,15.944903
NM_001005332,7.018666,4.416848,4.992798,8.240793
NM_001005333,0.0,0.003075,0.006645,0.011008
NM_001005336,0.0,0.052462,0.067559,0.042102
NM_001005337,0.0,0.0,0.0,0.0
NM_001005335,47.124008,60.216137,62.656185,63.620495
NM_176801,12.417836,8.895486,7.73062,9.439235
NM_001005338,0.0,0.0,0.0,0.0
NM_001005339,19.08745,18.564201,18.683216,19.904001
NM_176805,0.034318,0.042308,0.00841,0.016212
NM_001301289,37.394047,38.107456,6.213519,35.869156
NM_176806,14.705513,14.803658,14.452929,14.801012
NM_001167911,0.0,0.0,0.0,0.0
NR_033440,0.118214,0.011057,0.004233,0.002672
NM_001002814,6.414826,6.969242,6.137524,6.931494
NM_001032409,0.034784,0.036167,0.0,0.000653
NM_001002812,0.023027,0.032366,0.0,0.019517
NM_001002810,0.044142,0.012419,0.039837,0.050701
NM_001002811,5.236765,5.198298,5.599395,5.971749
NM_001206977,0.0,0.0,0.0,0.0
NM_001171625,1.963925,1.62246,2.949456,6.622287
NM_001171626,4.031903,4.211455,3.76573,6.724801
NM_001206974,1.361252,1.292374,1.519856,1.372535
NM_001474_2,4.643311,5.608242,4.239688,3.615933
NM_001206972,0.0,0.0,0.023043,0.0
NM_001206971,0.0,0.0,0.0,0.0
NM_001171623,0.000894,0.000421,3.027077,0.000727
NM_001167915,0.029818,0.028926,0.013551,0.036007
NM_001171628,1.709379,2.953548,0.729764,0.503645
NM_001171629,0.940715,0.295467,0.0,0.538781
NM_001206979,0.0,0.0,0.0,0.0
NM_001206978,0.0,0.0,0.0,0.0
NM_021967_5,0.545405,0.550129,0.470097,1.062404
NM_001288649,0.043089,0.018249,0.00289,0.021859
NM_001288648,0.14344,0.191317,0.28883,0.325894
NM_001167917,0.0,0.0,0.0,0.0
NM_024318_3,0.0,0.0,0.0,0.0
NM_001288643,0.177243,0.250234,0.314048,0.434006
NM_001288642,0.803796,0.877734,0.349905,0.343347
NM_001288640,0.04371,0.03619,0.0,0.0
NM_001288647,0.041995,0.032682,0.176348,0.092704
NM_001294328,0.0,0.0,0.0,0.0
NM_001288645,1.427144,1.155978,1.573587,1.427152
NM_001288644,0.011705,0.015236,0.005122,0.02846
NM_001149,0.632335,0.53402,0.460966,0.476682
NM_001148,0.039815,0.014486,0.012705,0.034589
NM_004319,0.009511,0.010086,0.005222,0.015957
NM_004318,15.058599,16.90258,15.006989,14.822437
NM_001286555,2.226545,2.133946,1.625256,2.028008
NM_001286554,1.233536,1.313686,1.181777,1.294161
NM_001286556,0.0,0.0,0.0,0.037523
NM_001141,0.058049,0.074363,0.037582,0.047925
NM_001140,24.251247,24.499865,21.28833,21.936047
NM_004311,10.541983,10.596885,11.063432,11.035198
NM_004310,0.0,0.0,0.0,0.0
NM_001145,1.105468,0.998748,0.908089,1.009459
NM_001144,39.372658,38.613136,37.545326,37.510807
NM_001147,0.46837,0.380531,0.326743,0.409052
NM_004314,0.028281,0.068067,0.019809,0.012424
NM_001201473,0.001816,0.002654,0.0,0.0
NM_001201472,0.002175,0.003558,0.0,0.195008
NM_001201477,4.069134,5.786295,4.490322,4.418848
NM_001201476,0.059162,0.054127,0.15293,0.101123
NM_001201475,2.099012,3.039582,2.195554,3.548499
NM_001201474,2.686433,2.145991,3.042877,2.61968
NM_001001549,8.929802,0.0,10.853884,11.204144
NM_001001548,0.037799,0.046231,0.037611,0.021635
NM_001201479,0.0,0.0,0.0,0.0
NM_001201478,0.429152,0.498931,0.493065,0.296212
NR_026781_2,0.205422,0.193308,0.223477,0.2235
NR_030590,0.0,0.0,0.0,0.0
NM_001163125_2,0.014812,0.012892,0.008082,0.010199
NR_033863,0.0,0.0,0.0,0.0
NM_001097594_2,0.925746,5.920268,1.652356,1.987178
NM_025029,17.080299,17.233908,16.731165,17.358389
NR_037609_2,0.554929,0.552012,0.385116,0.391776
NM_001146327,6.355178,6.207068,7.210643,6.822714
NM_001146326,4.607153,5.366569,6.578955,6.155768
NR_102405,2.980852,3.571117,2.41896,2.582224
NR_102404,1.400844,2.016153,1.051957,1.544512
NM_001146322,0.002561,0.016663,0.005539,0.005676
NR_102401,0.002103,0.003631,0.003055,0.0
NR_102400,0.0,0.043886,0.0,0.0
NM_001206932_6,0.0,0.0,0.0,0.0
NM_024993,0.0,0.020699,0.023167,0.012034
NM_024991,0.0,0.0,0.0,1.355818
NR_126400_2,0.0,0.0,0.0,0.0
NM_024996,14.042831,13.864086,12.167144,13.761038
NR_073201,12.785166,14.529349,11.231951,7.057771
NM_001161580,0.586526,0.46355,0.721435,0.749137
NM_001289114,0.0,0.0,0.0,0.0
NM_001289115,0.172403,0.055721,0.300034,0.0
NM_001284348,0.231474,0.888924,0.407183,1.17265
NM_001284349,1.960181,1.876046,1.431446,1.501609
NM_001289110,0.0,0.0,0.0,0.0
NM_001289111,3.195069,2.588958,2.473197,2.924226
NM_001289112,0.012305,0.002772,0.019432,0.012131
NM_001289113,0.271858,0.56103,0.115377,0.423376
NM_001284342,4.034169,4.543744,3.530906,2.657315
NM_001284343,0.020678,0.004314,0.004939,0.045314
NM_001284340,0.0,0.0,0.0,0.0
NR_024065,0.006804,0.0,0.0,0.0
NR_024062,0.0,0.0,0.0,0.0
NM_001284347,1.226604,0.700737,0.82342,0.379803
NR_024061,3.351301,3.251719,3.547925,3.571464
NM_001166161,1.711076,0.573937,2.286567,0.849024
NM_001287602,0.0,0.0,0.0,0.0
NM_001287603,0.006862,0.025357,1.782931,0.872781
NM_001287600,0.0,0.0,0.0,0.0
NM_001287601,0.713594,0.628191,0.783625,0.566877
NM_198881,0.194519,0.4553,0.621808,0.771507
NM_198880,9.749425,10.05645,10.357019,10.120988
NM_001287604,1.82509,2.430126,1.388368,2.213691
NM_198882,0.004279,0.002966,0.001316,0.407391
NR_073568,0.0,0.0,0.073872,0.0
NM_198889,13.142919,13.091795,13.484801,14.099901
NM_001161546,0.446654,0.433828,0.398696,0.423064
NM_024033,6.445106,6.516562,6.01669,6.980889
NM_001206932_5,0.0,0.0,0.0,0.0
NM_145274,3.301572,3.327531,2.926337,2.994379
NM_145276,3.025596,3.327681,2.977535,3.213048
NM_145277,0.0,0.0,0.0,0.0
NM_145270,0.00886,0.0,0.00933,0.0
NM_145271,2.278617,2.32097,2.199671,2.337
NM_145272,0.0,0.023946,0.010289,0.050251
NM_145273,0.0,0.0,0.0,0.0
NR_109867,0.0,0.007882,0.0,0.0
NM_145278,0.0,0.0,0.0,0.0
NM_145279,0.058626,0.050112,0.022338,0.048469
NM_001164281,0.303321,0.368436,0.195855,0.226608
NM_001184789,0.0,0.0,0.0,0.032189
NM_001184788,0.0,0.002902,0.0,0.002196
NM_001184783,0.422898,0.500906,0.328016,0.393544
NM_001184782,0.01617,0.01054,0.002216,0.018452
NM_001184781,7.149344,7.14836,5.722983,7.002091
NM_001184780,0.0,0.0,0.0,0.0
NM_001184787,0.431123,0.037729,0.031575,0.003363
NM_001184786,0.96585,0.34336,0.0,0.205955
NM_001184785,0.714424,0.000951,0.0,4.7e-05
NM_020721,0.010229,0.007752,0.003468,0.013514
NM_001206932_3,0.0,0.0,0.0,0.0
NM_001287758,0.153138,0.131621,0.148038,0.177062
NM_001164283,0.004348,0.010237,0.010134,0.005651
NM_021828,0.0,0.0,0.0,0.0
NM_001287759,0.0,0.0,0.0,0.0
NM_021821,41.702717,42.315514,35.977142,36.768147
NM_021822,0.208384,0.188063,0.23092,0.241921
NM_021823,1.207184,1.083794,1.266049,1.441561
NM_021824,8.027629,10.386978,12.072454,11.437844
NM_021825,2.874406,1.982968,2.104287,2.188351
NM_021826,12.076351,12.493651,13.688206,13.645266
NM_021827,0.0,0.0,0.0,0.0
NR_106753,0.0,0.0,0.0,0.0
NM_078468,20.84355,21.567633,23.250122,23.3109
NM_078469,12.203384,12.815182,13.082081,13.0273
NM_145858,15.878916,16.400396,13.956645,13.90917
NM_145859,21.260475,20.415583,24.981693,24.861568
NM_001289021,0.0,0.0,0.0,0.0
NM_177537_2,0.361313,0.0,0.236873,0.547146
NR_106752,0.0,0.0,0.0,0.0
NM_001100916,0.039374,0.034395,0.059322,0.064118
NM_001100917,0.0,0.0,0.0,0.0
NM_001100915,0.041113,0.018585,0.034545,0.023757
NM_001100912,2.08012,2.442607,2.877512,2.494028
NM_001100913,0.00622,0.002143,0.002421,0.0099
NM_001100910,1.576676,1.576346,1.870006,1.916177
NM_033387,0.822062,0.853949,0.96723,0.958222
NR_026575,0.367719,0.320106,0.299706,0.331518
NR_033380_2,0.116078,0.109936,0.083278,0.10832
NM_002346_2,0.789058,0.82019,0.623246,1.200889
NM_001171630,0.055846,0.26352,0.050229,0.055557
NR_026578,61.707088,63.317177,75.991882,75.491051
NM_001286234,0.0,0.0,0.0,0.0
NM_001286235,0.0,0.0,0.0,0.0
NM_001286236,0.0,0.0,0.0,0.0
NM_001286237,0.0,0.0,0.0,0.0
NM_001286230,1.179479,1.307753,0.774699,1.140206
NM_001286233,0.011348,0.021441,0.003005,0.0
NM_001286238,0.300522,0.31425,0.301128,0.470091
NM_001286239,0.0,0.0,0.0,0.0
NR_106750,0.0,0.0,0.0,0.0
NM_001204418,0.0,0.0,0.0,0.0
NM_001204419,0.0,0.0,0.0,0.0
NM_001204416,0.0,0.0,0.0,0.0
NM_001204417,0.0,0.0,0.0,0.0
NM_001204414,0.0,0.0,0.0,0.0
NM_001204415,0.0,0.0,0.0,0.0
NM_001204410,1.11034,0.204262,0.156461,0.944285
NR_110545,0.0,0.0,0.0,0.0
NR_110544,0.0,0.0,0.0,0.0
NR_110547,0.0,0.0,0.0,0.0
NR_110546,0.077346,0.098154,0.064257,0.0
NR_110886_5,0.082675,0.0,0.303753,0.584587
NR_110886_4,0.040228,0.0,0.195747,0.460445
